M0:s X,M0:s Y
1.8,4.616718747519757e-05
1.79982,4.615485701778721e-05
1.79964,4.614252710166783e-05
1.79946,4.613019772797675e-05
1.79928,4.611786889785123e-05
1.7991,4.610554061242782e-05
1.79892,4.60932128728428e-05
1.79874,4.608088568023216e-05
1.798559999999999,4.606855903573134e-05
1.798379999999999,4.605623294047544e-05
1.798199999999999,4.604390739559911e-05
1.798019999999999,4.603158240223663e-05
1.797839999999999,4.601925796152186e-05
1.797659999999999,4.600693407458825e-05
1.797479999999999,4.599461074256878e-05
1.797299999999999,4.598228796659611e-05
1.797119999999999,4.596996574780245e-05
1.796939999999999,4.595764408731948e-05
1.796759999999999,4.594532298627866e-05
1.796579999999999,4.59330024458108e-05
1.796399999999999,4.592068246704643e-05
1.796219999999999,4.590836305111559e-05
1.796039999999999,4.589604419914795e-05
1.795859999999998,4.588372591227263e-05
1.795679999999998,4.587140819161846e-05
1.795499999999998,4.585909103831369e-05
1.795319999999998,4.584677445348618e-05
1.795139999999998,4.583445843826341e-05
1.794959999999998,4.582214299377231e-05
1.794779999999998,4.580982812113947e-05
1.794599999999998,4.579751382149087e-05
1.794419999999998,4.578520009595225e-05
1.794239999999998,4.577288694564871e-05
1.794059999999998,4.576057437170499e-05
1.793879999999998,4.574826237524535e-05
1.793699999999998,4.573595095739361e-05
1.793519999999998,4.572364011927303e-05
1.793339999999997,4.571132986200655e-05
1.793159999999997,4.569902018671658e-05
1.792979999999997,4.5686711094525e-05
1.792799999999997,4.567440258655334e-05
1.792619999999997,4.56620946639225e-05
1.792439999999997,4.564978732775303e-05
1.792259999999997,4.563748057916503e-05
1.792079999999997,4.562517441927796e-05
1.791899999999997,4.561286884921096e-05
1.791719999999997,4.560056387008257e-05
1.791539999999997,4.558825948301097e-05
1.791359999999997,4.557595568911373e-05
1.791179999999997,4.556365248950796e-05
1.790999999999997,4.555134988531031e-05
1.790819999999997,4.553904787763698e-05
1.790639999999996,4.552674646760354e-05
1.790459999999996,4.551444565632519e-05
1.790279999999996,4.550214544491656e-05
1.790099999999996,4.548984583449181e-05
1.789919999999996,4.547754682616454e-05
1.789739999999996,4.546524842104793e-05
1.789559999999996,4.545295062025466e-05
1.789379999999996,4.544065342489674e-05
1.789199999999996,4.54283568360859e-05
1.789019999999996,4.541606085493313e-05
1.788839999999996,4.540376548254913e-05
1.788659999999996,4.539147072004384e-05
1.788479999999996,4.537917656852691e-05
1.788299999999996,4.536688302910726e-05
1.788119999999995,4.535459010289349e-05
1.787939999999995,4.53422977909935e-05
1.787759999999995,4.533000609451477e-05
1.787579999999995,4.531771501456428e-05
1.787399999999995,4.530542455224829e-05
1.787219999999995,4.529313470867277e-05
1.787039999999995,4.528084548494298e-05
1.786859999999995,4.526855688216376e-05
1.786679999999995,4.52562689014393e-05
1.786499999999995,4.524398154387331e-05
1.786319999999995,4.523169481056896e-05
1.786139999999995,4.521940870262895e-05
1.785959999999995,4.520712322115522e-05
1.785779999999995,4.519483836724939e-05
1.785599999999995,4.518255414201242e-05
1.785419999999994,4.51702705465447e-05
1.785239999999994,4.51579875819462e-05
1.785059999999994,4.514570524931607e-05
1.784879999999994,4.513342354975326e-05
1.784699999999994,4.51211424843558e-05
1.784519999999994,4.510886205422143e-05
1.784339999999994,4.509658226044726e-05
1.784159999999994,4.50843031041297e-05
1.783979999999994,4.50720245863648e-05
1.783799999999994,4.505974670824786e-05
1.783619999999994,4.504746947087376e-05
1.783439999999994,4.503519287533664e-05
1.783259999999994,4.502291692273029e-05
1.783079999999994,4.501064161414776e-05
1.782899999999993,4.49983669506815e-05
1.782719999999993,4.498609293342354e-05
1.782539999999993,4.497381956346515e-05
1.782359999999993,4.496154684189721e-05
1.782179999999993,4.494927476980984e-05
1.781999999999993,4.493700334829265e-05
1.781819999999993,4.492473257843465e-05
1.781639999999993,4.491246246132432e-05
1.781459999999993,4.490019299804945e-05
1.781279999999993,4.488792418969733e-05
1.781099999999993,4.487565603735457e-05
1.780919999999993,4.48633885421073e-05
1.780739999999993,4.485112170504086e-05
1.780559999999993,4.483885552724023e-05
1.780379999999993,4.482659000978967e-05
1.780199999999992,4.481432515377274e-05
1.780019999999992,4.480206096027259e-05
1.779839999999992,4.478979743037161e-05
1.779659999999992,4.477753456515167e-05
1.779479999999992,4.4765272365694e-05
1.779299999999992,4.475301083307923e-05
1.779119999999992,4.474074996838738e-05
1.778939999999992,4.472848977269782e-05
1.778759999999992,4.471623024708936e-05
1.778579999999992,4.470397139264013e-05
1.778399999999992,4.469171321042775e-05
1.778219999999992,4.467945570152904e-05
1.778039999999992,4.466719886702036e-05
1.777859999999992,4.46549427079774e-05
1.777679999999991,4.464268722547523e-05
1.777499999999991,4.463043242058823e-05
1.777319999999991,4.461817829439024e-05
1.777139999999991,4.460592484795442e-05
1.776959999999991,4.45936720823533e-05
1.776779999999991,4.458141999865882e-05
1.776599999999991,4.456916859794217e-05
1.776419999999991,4.455691788127411e-05
1.776239999999991,4.454466784972454e-05
1.776059999999991,4.453241850436287e-05
1.775879999999991,4.45201698462578e-05
1.775699999999991,4.450792187647744e-05
1.775519999999991,4.449567459608919e-05
1.775339999999991,4.448342800615982e-05
1.775159999999991,4.447118210775556e-05
1.77497999999999,4.445893690194182e-05
1.77479999999999,4.444669238978345e-05
1.77461999999999,4.44344485723447e-05
1.77443999999999,4.442220545068911e-05
1.77425999999999,4.44099630258795e-05
1.77407999999999,4.439772129897816e-05
1.77389999999999,4.438548027104664e-05
1.77371999999999,4.437323994314586e-05
1.77353999999999,4.436100031633611e-05
1.77335999999999,4.434876139167694e-05
1.77317999999999,4.43365231702273e-05
1.77299999999999,4.43242856530455e-05
1.77281999999999,4.431204884118907e-05
1.77263999999999,4.429981273571504e-05
1.772459999999989,4.428757733767958e-05
1.772279999999989,4.42753426481384e-05
1.772099999999989,4.426310866814633e-05
1.771919999999989,4.425087539875771e-05
1.771739999999989,4.423864284102604e-05
1.771559999999989,4.422641099600431e-05
1.771379999999989,4.421417986474466e-05
1.771199999999989,4.420194944829871e-05
1.771019999999989,4.418971974771735e-05
1.770839999999989,4.417749076405074e-05
1.770659999999989,4.416526249834835e-05
1.770479999999989,4.415303495165908e-05
1.770299999999989,4.414080812503107e-05
1.770119999999989,4.412858201951178e-05
1.769939999999989,4.411635663614788e-05
1.769759999999988,4.41041319759856e-05
1.769579999999988,4.409190804007025e-05
1.769399999999988,4.407968482944655e-05
1.769219999999988,4.40674623451585e-05
1.769039999999988,4.40552405882494e-05
1.768859999999988,4.404301955976192e-05
1.768679999999988,4.403079926073796e-05
1.768499999999988,4.401857969221874e-05
1.768319999999988,4.40063608552448e-05
1.768139999999988,4.399414275085594e-05
1.767959999999988,4.398192538009134e-05
1.767779999999988,4.396970874398938e-05
1.767599999999988,4.39574928435878e-05
1.767419999999988,4.394527767992361e-05
1.767239999999987,4.393306325403312e-05
1.767059999999987,4.392084956695193e-05
1.766879999999987,4.390863661971495e-05
1.766699999999987,4.389642441335635e-05
1.766519999999987,4.38842129489096e-05
1.766339999999987,4.38720022274075e-05
1.766159999999987,4.385979224988203e-05
1.765979999999987,4.384758301736459e-05
1.765799999999987,4.383537453088571e-05
1.765619999999987,4.382316679147542e-05
1.765439999999987,4.381095980016278e-05
1.765259999999987,4.379875355797632e-05
1.765079999999987,4.378654806594377e-05
1.764899999999987,4.377434332509213e-05
1.764719999999987,4.376213933644775e-05
1.764539999999986,4.374993610103617e-05
1.764359999999986,4.373773361988227e-05
1.764179999999986,4.372553189401011e-05
1.763999999999986,4.371333092444316e-05
1.763819999999986,4.3701130712204e-05
1.763639999999986,4.368893125831472e-05
1.763459999999986,4.367673256379638e-05
1.763279999999986,4.366453462966954e-05
1.763099999999986,4.365233745695394e-05
1.762919999999986,4.364014104666855e-05
1.762739999999986,4.362794539983172e-05
1.762559999999986,4.361575051746091e-05
1.762379999999986,4.360355640057298e-05
1.762199999999986,4.359136305018398e-05
1.762019999999985,4.357917046730928e-05
1.761839999999985,4.356697865296345e-05
1.761659999999985,4.355478760816026e-05
1.761479999999985,4.354259733391293e-05
1.761299999999985,4.353040783123375e-05
1.761119999999985,4.351821910113441e-05
1.760939999999985,4.350603114462573e-05
1.760759999999985,4.349384396271785e-05
1.760579999999985,4.348165755642015e-05
1.760399999999985,4.346947192674128e-05
1.760219999999985,4.345728707468911e-05
1.760039999999985,4.34451030012708e-05
1.759859999999985,4.343291970749273e-05
1.759679999999985,4.342073719436052e-05
1.759499999999985,4.340855546287906e-05
1.759319999999984,4.33963745140525e-05
1.759139999999984,4.338419434888414e-05
1.758959999999984,4.337201496837669e-05
1.758779999999984,4.335983637353199e-05
1.758599999999984,4.334765856535109e-05
1.758419999999984,4.33354815448344e-05
1.758239999999984,4.332330531298148e-05
1.758059999999984,4.33111298707911e-05
1.757879999999984,4.329895521926149e-05
1.757699999999984,4.328678135938979e-05
1.757519999999984,4.327460829217261e-05
1.757339999999984,4.32624360186057e-05
1.757159999999984,4.325026453968411e-05
1.756979999999984,4.32380938564021e-05
1.756799999999983,4.322592396975314e-05
1.756619999999983,4.32137548807299e-05
1.756439999999983,4.32015865903244e-05
1.756259999999983,4.318941909952777e-05
1.756079999999983,4.317725240933043e-05
1.755899999999983,4.316508652072198e-05
1.755719999999983,4.315292143469137e-05
1.755539999999983,4.314075715222668e-05
1.755359999999983,4.312859367431521e-05
1.755179999999983,4.31164310019435e-05
1.754999999999983,4.310426913609736e-05
1.754819999999983,4.309210807776176e-05
1.754639999999983,4.307994782792095e-05
1.754459999999983,4.306778838755837e-05
1.754279999999983,4.305562975765663e-05
1.754099999999982,4.304347193919773e-05
1.753919999999982,4.303131493316272e-05
1.753739999999982,4.301915874053197e-05
1.753559999999982,4.300700336228501e-05
1.753379999999982,4.299484879940058e-05
1.753199999999982,4.298269505285676e-05
1.753019999999982,4.297054212363069e-05
1.752839999999982,4.29583900126988e-05
1.752659999999982,4.294623872103672e-05
1.752479999999982,4.293408824961936e-05
1.752299999999982,4.292193859942075e-05
1.752119999999982,4.290978977141418e-05
1.751939999999982,4.289764176657214e-05
1.751759999999982,4.288549458586635e-05
1.751579999999981,4.287334823026774e-05
1.751399999999981,4.286120270074638e-05
1.751219999999981,4.284905799827174e-05
1.751039999999981,4.283691412381226e-05
1.750859999999981,4.282477107833575e-05
1.750679999999981,4.281262886280913e-05
1.750499999999981,4.280048747819865e-05
1.750319999999981,4.278834692546965e-05
1.750139999999981,4.277620720558674e-05
1.749959999999981,4.276406831951371e-05
1.749779999999981,4.275193026821352e-05
1.749599999999981,4.273979305264849e-05
1.749419999999981,4.272765667377987e-05
1.749239999999981,4.271552113256841e-05
1.749059999999981,4.27033864299739e-05
1.74887999999998,4.26912525669553e-05
1.74869999999998,4.267911954447089e-05
1.74851999999998,4.266698736347806e-05
1.74833999999998,4.265485602493346e-05
1.74815999999998,4.264272552979292e-05
1.74797999999998,4.263059587901143e-05
1.74779999999998,4.26184670735432e-05
1.74761999999998,4.260633911434167e-05
1.74743999999998,4.259421200235947e-05
1.74725999999998,4.258208573854837e-05
1.74707999999998,4.256996032385945e-05
1.74689999999998,4.255783575924285e-05
1.74671999999998,4.254571204564803e-05
1.74653999999998,4.253358918402354e-05
1.746359999999979,4.252146717531718e-05
1.746179999999979,4.250934602047593e-05
1.745999999999979,4.249722572044603e-05
1.745819999999979,4.248510627617274e-05
1.745639999999979,4.247298768860074e-05
1.745459999999979,4.246086995867371e-05
1.745279999999979,4.244875308733466e-05
1.745099999999979,4.243663707552571e-05
1.744919999999979,4.242452192418811e-05
1.744739999999979,4.241240763426249e-05
1.744559999999979,4.240029420668848e-05
1.744379999999979,4.238818164240504e-05
1.744199999999979,4.237606994235025e-05
1.744019999999979,4.236395910746135e-05
1.743839999999979,4.235184913867486e-05
1.743659999999978,4.233974003692636e-05
1.743479999999978,4.232763180315073e-05
1.743299999999978,4.231552443828204e-05
1.743119999999978,4.230341794325342e-05
1.742939999999978,4.229131231899731e-05
1.742759999999978,4.227920756644531e-05
1.742579999999978,4.226710368652813e-05
1.742399999999978,4.225500068017578e-05
1.742219999999978,4.224289854831737e-05
1.742039999999978,4.223079729188125e-05
1.741859999999978,4.221869691179492e-05
1.741679999999978,4.220659740898503e-05
1.741499999999978,4.219449878437749e-05
1.741319999999978,4.218240103889737e-05
1.741139999999977,4.217030417346883e-05
1.740959999999977,4.215820818901537e-05
1.740779999999977,4.214611308645954e-05
1.740599999999977,4.213401886672315e-05
1.740419999999977,4.212192553072716e-05
1.740239999999977,4.210983307939172e-05
1.740059999999977,4.209774151363608e-05
1.739879999999977,4.208565083437883e-05
1.739699999999977,4.207356104253762e-05
1.739519999999977,4.206147213902932e-05
1.739339999999977,4.204938412476993e-05
1.739159999999977,4.203729700067473e-05
1.738979999999977,4.202521076765807e-05
1.738799999999977,4.201312542663354e-05
1.738619999999977,4.200104097851391e-05
1.738439999999976,4.198895742421109e-05
1.738259999999976,4.197687476463615e-05
1.738079999999976,4.19647930006995e-05
1.737899999999976,4.195271213331047e-05
1.737719999999976,4.194063216337774e-05
1.737539999999976,4.192855309180917e-05
1.737359999999976,4.191647491951165e-05
1.737179999999976,4.190439764739147e-05
1.736999999999976,4.189232127635389e-05
1.736819999999976,4.188024580730342e-05
1.736639999999976,4.18681712411438e-05
1.736459999999976,4.18560975787779e-05
1.736279999999976,4.184402482110774e-05
1.736099999999976,4.183195296903449e-05
1.735919999999975,4.181988202345863e-05
1.735739999999975,4.180781198527963e-05
1.735559999999975,4.179574285539637e-05
1.735379999999975,4.178367463470661e-05
1.735199999999975,4.177160732410748e-05
1.735019999999975,4.17595409244953e-05
1.734839999999975,4.174747543676545e-05
1.734659999999975,4.173541086181258e-05
1.734479999999975,4.17233472005304e-05
1.734299999999975,4.171128445381191e-05
1.734119999999975,4.169922262254922e-05
1.733939999999975,4.168716170763362e-05
1.733759999999975,4.167510170995559e-05
1.733579999999975,4.166304263040479e-05
1.733399999999975,4.165098446986999e-05
1.733219999999974,4.163892722923925e-05
1.733039999999974,4.162687090939962e-05
1.732859999999974,4.161481551123752e-05
1.732679999999974,4.16027610356384e-05
1.732499999999974,4.159070748348694e-05
1.732319999999974,4.157865485566699e-05
1.732139999999974,4.156660315306157e-05
1.731959999999974,4.155455237655289e-05
1.731779999999974,4.15425025270222e-05
1.731599999999974,4.15304536053502e-05
1.731419999999974,4.151840561241642e-05
1.731239999999974,4.150635854909985e-05
1.731059999999974,4.149431241627845e-05
1.730879999999974,4.148226721482953e-05
1.730699999999973,4.147022294562936e-05
1.730519999999973,4.145817960955356e-05
1.730339999999973,4.144613720747682e-05
1.730159999999973,4.143409574027305e-05
1.729979999999973,4.142205520881534e-05
1.729799999999973,4.141001561397588e-05
1.729619999999973,4.139797695662615e-05
1.729439999999973,4.13859392376366e-05
1.729259999999973,4.137390245787708e-05
1.729079999999973,4.13618666182165e-05
1.728899999999973,4.13498317195229e-05
1.728719999999973,4.133779776266356e-05
1.728539999999973,4.132576474850495e-05
1.728359999999973,4.131373267791259e-05
1.728179999999973,4.13017015517513e-05
1.727999999999972,4.1289671370885e-05
1.727819999999972,4.127764213617685e-05
1.727639999999972,4.126561384848907e-05
1.727459999999972,4.125358650868312e-05
1.727279999999972,4.124156011761966e-05
1.727099999999972,4.122953467615842e-05
1.726919999999972,4.121751018515845e-05
1.726739999999972,4.12054866454778e-05
1.726559999999972,4.119346405797381e-05
1.726379999999972,4.118144242350295e-05
1.726199999999972,4.116942174292088e-05
1.726019999999972,4.115740201708241e-05
1.725839999999972,4.114538324684152e-05
1.725659999999972,4.113336543305137e-05
1.725479999999971,4.112134857656431e-05
1.725299999999971,4.11093326782318e-05
1.725119999999971,4.109731773890456e-05
1.724939999999971,4.108530375943238e-05
1.724759999999971,4.107329074066434e-05
1.724579999999971,4.106127868344856e-05
1.724399999999971,4.104926758863245e-05
1.724219999999971,4.103725745706253e-05
1.724039999999971,4.102524828958446e-05
1.723859999999971,4.101324008704317e-05
1.723679999999971,4.100123285028272e-05
1.723499999999971,4.098922658014624e-05
1.723319999999971,4.097722127747619e-05
1.723139999999971,4.096521694311411e-05
1.722959999999971,4.095321357790075e-05
1.72277999999997,4.0941211182676e-05
1.72259999999997,4.092920975827895e-05
1.72241999999997,4.091720930554788e-05
1.72223999999997,4.090520982532018e-05
1.72205999999997,4.089321131843245e-05
1.72187999999997,4.088121378572049e-05
1.72169999999997,4.086921722801924e-05
1.72151999999997,4.085722164616285e-05
1.72133999999997,4.084522704098452e-05
1.72115999999997,4.083323341331682e-05
1.72097999999997,4.082124076399133e-05
1.72079999999997,4.080924909383893e-05
1.72061999999997,4.079725840368954e-05
1.72043999999997,4.078526869437239e-05
1.720259999999969,4.07732799667158e-05
1.720079999999969,4.076129222154732e-05
1.719899999999969,4.07493054596936e-05
1.719719999999969,4.07373196819805e-05
1.719539999999969,4.072533488923313e-05
1.719359999999969,4.071335108227566e-05
1.719179999999969,4.070136826193148e-05
1.718999999999969,4.06893864290232e-05
1.718819999999969,4.067740558437256e-05
1.718639999999969,4.066542572880048e-05
1.718459999999969,4.065344686312711e-05
1.718279999999969,4.064146898817163e-05
1.718099999999969,4.062949210475264e-05
1.717919999999969,4.061751621368768e-05
1.717739999999969,4.06055413157936e-05
1.717559999999968,4.059356741188635e-05
1.717379999999968,4.058159450278121e-05
1.717199999999968,4.056962258929243e-05
1.717019999999968,4.055765167223358e-05
1.716839999999968,4.054568175241738e-05
1.716659999999968,4.053371283065575e-05
1.716479999999968,4.052174490775969e-05
1.716299999999968,4.050977798453952e-05
1.716119999999968,4.049781206180463e-05
1.715939999999968,4.048584714036363e-05
1.715759999999968,4.047388322102436e-05
1.715579999999968,4.04619203045938e-05
1.715399999999968,4.044995839187804e-05
1.715219999999968,4.043799748368245e-05
1.715039999999967,4.04260375808116e-05
1.714859999999967,4.041407868406916e-05
1.714679999999967,4.040212079425798e-05
1.714499999999967,4.039016391218023e-05
1.714319999999967,4.037820803863708e-05
1.714139999999967,4.036625317442896e-05
1.713959999999967,4.035429932035558e-05
1.713779999999967,4.034234647721567e-05
1.713599999999967,4.033039464580729e-05
1.713419999999967,4.031844382692756e-05
1.713239999999967,4.030649402137285e-05
1.713059999999967,4.029454522993875e-05
1.712879999999967,4.028259745341997e-05
1.712699999999967,4.027065069261042e-05
1.712519999999967,4.025870494830327e-05
1.712339999999966,4.024676022129073e-05
1.712159999999966,4.023481651236433e-05
1.711979999999966,4.022287382231476e-05
1.711799999999966,4.021093215193189e-05
1.711619999999966,4.019899150200474e-05
1.711439999999966,4.018705187332152e-05
1.711259999999966,4.017511326666972e-05
1.711079999999966,4.016317568283591e-05
1.710899999999966,4.015123912260595e-05
