M0:d (Vgs=0.00e+00) X,M0:d (Vgs=0.00e+00) Y
0,2.06608695871218e-12
0.00018,2.076221824934356e-12
0.00036,2.086406617569905e-12
0.00054,2.09664158234223e-12
0.00072,2.106926966182326e-12
0.0009000000000000001,2.117263017234976e-12
0.00108,2.127649984864265e-12
0.00126,2.138088119660072e-12
0.00144,2.148577673443891e-12
0.00162,2.159118899274665e-12
0.0018,2.169712051455148e-12
0.00198,2.180357385538239e-12
0.00216,2.191055158332022e-12
0.00234,2.201805627907334e-12
0.00252,2.21260905360283e-12
0.0027,2.22346569603194e-12
0.00288,2.234375817089163e-12
0.00306,2.245339679954953e-12
0.00324,2.256357549104432e-12
0.00342,2.267429690311398e-12
0.0036,2.278556370656409e-12
0.00378,2.289737858531766e-12
0.00396,2.300974423649423e-12
0.00414,2.312266337046295e-12
0.004319999999999999,2.323613871091028e-12
0.004499999999999999,2.335017299490789e-12
0.004679999999999998,2.346476897298113e-12
0.004859999999999998,2.35799294091656e-12
0.005039999999999998,2.369565708107843e-12
0.005219999999999997,2.38119547799902e-12
0.005399999999999997,2.392882531088226e-12
0.005579999999999996,2.404627149251922e-12
0.005759999999999996,2.416429615751931e-12
0.005939999999999996,2.428290215241491e-12
0.006119999999999995,2.440209233772397e-12
0.006299999999999995,2.452186958802326e-12
0.006479999999999994,2.464223679200811e-12
0.006659999999999994,2.476319685257399e-12
0.006839999999999994,2.488475268687399e-12
0.007019999999999993,2.500690722639155e-12
0.007199999999999993,2.51296634170185e-12
0.007379999999999992,2.525302421911548e-12
0.007559999999999992,2.537699260758885e-12
0.007739999999999992,2.550157157196387e-12
0.007919999999999991,2.562676411644728e-12
0.008099999999999991,2.575257326000908e-12
0.00827999999999999,2.587900203645021e-12
0.00845999999999999,2.600605349447296e-12
0.00863999999999999,2.613373069776183e-12
0.008819999999999989,2.626203672504669e-12
0.008999999999999989,2.639097467018484e-12
0.009179999999999989,2.652054764223494e-12
0.009359999999999988,2.665075876552156e-12
0.009539999999999988,2.678161117972323e-12
0.009719999999999987,2.691310803994228e-12
0.009899999999999987,2.704525251677585e-12
0.01007999999999999,2.717804779639431e-12
0.01025999999999999,2.731149708062552e-12
0.01043999999999999,2.744560358702146e-12
0.01061999999999999,2.75803705489379e-12
0.01079999999999998,2.771580121561727e-12
0.01097999999999998,2.785189885225352e-12
0.01115999999999998,2.798866674008871e-12
0.01133999999999998,2.812610817647609e-12
0.01151999999999998,2.826422647496974e-12
0.01169999999999998,2.840302496539057e-12
0.01187999999999998,2.854250699391978e-12
0.01205999999999998,2.868267592317603e-12
0.01223999999999998,2.882353513229109e-12
0.01241999999999998,2.896508801699332e-12
0.01259999999999998,2.91073379896864e-12
0.01277999999999998,2.92502884795392e-12
0.01295999999999998,2.939394293255445e-12
0.01313999999999998,2.953830481167012e-12
0.01331999999999998,2.96833775968238e-12
0.01349999999999998,2.982916478504102e-12
0.01367999999999998,2.997566989053011e-12
0.01385999999999998,3.012289644475013e-12
0.01403999999999998,3.027084799650883e-12
0.01421999999999998,3.041952811203958e-12
0.01439999999999998,3.056894037508414e-12
0.01457999999999998,3.071908838698896e-12
0.01475999999999998,3.08699757667892e-12
0.01493999999999998,3.102160615128123e-12
0.01511999999999998,3.117398319513178e-12
0.01529999999999998,3.132711057094351e-12
0.01547999999999997,3.148099196936188e-12
0.01565999999999998,3.163563109914981e-12
0.01583999999999998,3.179103168728487e-12
0.01601999999999998,3.19471974790424e-12
0.01619999999999997,3.210413223809127e-12
0.01637999999999997,3.22618397465749e-12
0.01655999999999997,3.242032380521611e-12
0.01673999999999997,3.257958823339381e-12
0.01691999999999997,3.273963686923983e-12
0.01709999999999997,3.290047356973092e-12
0.01727999999999997,3.306210221078639e-12
0.01745999999999997,3.322452668734931e-12
0.01763999999999997,3.338775091348845e-12
0.01781999999999997,3.355177882249142e-12
0.01799999999999997,3.371661436695606e-12
0.01817999999999997,3.388226151887905e-12
0.01835999999999997,3.40487242697707e-12
0.01853999999999997,3.421600663072466e-12
0.01871999999999997,3.438411263253089e-12
0.01889999999999997,3.455304632577466e-12
0.01907999999999997,3.472281178091906e-12
0.01925999999999997,3.489341308841056e-12
0.01943999999999997,3.506485435877692e-12
0.01961999999999997,3.523713972272534e-12
0.01979999999999997,3.541027333124046e-12
0.01997999999999997,3.558425935568721e-12
0.02015999999999997,3.575910198790096e-12
0.02033999999999997,3.593480544029926e-12
0.02051999999999997,3.611137394597097e-12
0.02069999999999996,3.628881175879445e-12
0.02087999999999996,3.646712315351578e-12
0.02105999999999996,3.664631242587718e-12
0.02123999999999996,3.682638389269545e-12
0.02141999999999996,3.700734189198023e-12
0.02159999999999996,3.718919078303729e-12
0.02177999999999996,3.737193494656609e-12
0.02195999999999996,3.755557878476178e-12
0.02213999999999996,3.774012672144057e-12
0.02231999999999996,3.79255832021156e-12
0.02249999999999996,3.811195269412666e-12
0.02267999999999996,3.829923968674355e-12
0.02285999999999996,3.848744869125812e-12
0.02303999999999996,3.867658424110685e-12
0.02321999999999996,3.88666508919847e-12
0.02339999999999996,3.905765322192963e-12
0.02357999999999996,3.924959583145545e-12
0.02375999999999996,3.944248334365284e-12
0.02393999999999996,3.963632040430226e-12
0.02411999999999996,3.983111168197489e-12
0.02429999999999996,4.002686186815973e-12
0.02447999999999996,4.022357567736601e-12
0.02465999999999996,4.042125784724103e-12
0.02483999999999996,4.061991313867404e-12
0.02501999999999996,4.081954633592183e-12
0.02519999999999996,4.102016224671325e-12
0.02537999999999995,4.122176570237622e-12
