"(pv("M0" "gm" ?result "dcOpInfo-info") / IDC("/M0/D")) vs M0:d (Vgs=1.64e-01) X","(pv("M0" "gm" ?result "dcOpInfo-info") / IDC("/M0/D")) vs M0:d (Vgs=1.64e-01) Y"
"2.06608695871218e-12","27.18500351515714"
"2.076221824934356e-12","27.18542266045086"
"2.086406617569905e-12","27.18584180574458"
"2.09664158234223e-12","27.1862609510383"
"2.106926966182326e-12","27.18668009633202"
"2.117263017234976e-12","27.18709924162573"
"2.127649984864265e-12","27.18751838691945"
"2.138088119660072e-12","27.18793753221317"
"2.148577673443891e-12","27.18835667750689"
"2.159118899274665e-12","27.18877582280061"
"2.169712051455148e-12","27.18919496809433"
"2.180357385538239e-12","27.18961411338805"
"2.191055158332022e-12","27.19003325868176"
"2.201805627907334e-12","27.19045240397548"
"2.21260905360283e-12","27.1908715492692"
"2.22346569603194e-12","27.19129069456292"
"2.234375817089163e-12","27.19170983985664"
"2.245339679954953e-12","27.19212898515035"
"2.256357549104432e-12","27.19254813044407"
"2.267429690311398e-12","27.19296727573779"
"2.278556370656409e-12","27.19338642103151"
"2.289737858531766e-12","27.19380556632523"
"2.300974423649423e-12","27.19422471161895"
"2.312266337046295e-12","27.19464385691267"
"2.323613871091028e-12","27.19506300220639"
"2.335017299490789e-12","27.1954821475001"
"2.346476897298113e-12","27.19590129279382"
"2.35799294091656e-12","27.19632043808754"
"2.369565708107843e-12","27.19673958338126"
"2.38119547799902e-12","27.19715872867498"
"2.392882531088226e-12","27.1975778739687"
"2.404627149251922e-12","27.19799701926241"
"2.416429615751931e-12","27.19841616455613"
"2.428290215241491e-12","27.19883530984985"
"2.440209233772397e-12","27.19925445514357"
"2.452186958802326e-12","27.19967360043729"
"2.464223679200811e-12","27.20009274573101"
"2.476319685257399e-12","27.20051189102472"
"2.488475268687399e-12","27.20093103631844"
"2.500690722639155e-12","27.20135018161216"
"2.51296634170185e-12","27.20176932690588"
"2.525302421911548e-12","27.2021884721996"
"2.537699260758885e-12","27.20260761749332"
"2.550157157196387e-12","27.20302676278704"
"2.562676411644728e-12","27.20344590808075"
"2.575257326000908e-12","27.20386505337447"
"2.587900203645021e-12","27.20428419866819"
"2.600605349447296e-12","27.20470334396191"
"2.613373069776183e-12","27.20512248925563"
"2.626203672504669e-12","27.20554163454934"
"2.639097467018484e-12","27.20596077984306"
"2.652054764223494e-12","27.20637992513678"
"2.665075876552156e-12","27.2067990704305"
"2.678161117972323e-12","27.20721821572422"
"2.691310803994228e-12","27.20763736101794"
"2.704525251677585e-12","27.20805650631166"
"2.717804779639431e-12","27.20847565160538"
"2.731149708062552e-12","27.2088947968991"
"2.744560358702146e-12","27.20931394219281"
"2.75803705489379e-12","27.20973308748653"
"2.771580121561727e-12","27.21015223278025"
"2.785189885225352e-12","27.21057137807397"
"2.798866674008871e-12","27.21099052336769"
"2.812610817647609e-12","27.2114096686614"
"2.826422647496974e-12","27.21182881395512"
"2.840302496539057e-12","27.21224795924884"
"2.854250699391978e-12","27.21266710454256"
"2.868267592317603e-12","27.21308624983628"
"2.882353513229109e-12","27.21350539513"
"2.896508801699332e-12","27.21392454042372"
"2.91073379896864e-12","27.21434368571743"
"2.92502884795392e-12","27.21476283101115"
"2.939394293255445e-12","27.21518197630487"
"2.953830481167012e-12","27.21560112159859"
"2.96833775968238e-12","27.21602026689231"
"2.982916478504102e-12","27.21643941218603"
"2.997566989053011e-12","27.21685855747975"
"3.012289644475013e-12","27.21727770277346"
"3.027084799650883e-12","27.21769684806718"
"3.041952811203958e-12","27.2181159933609"
"3.056894037508414e-12","27.21853513865462"
"3.071908838698896e-12","27.21895428394834"
"3.08699757667892e-12","27.21937342924205"
"3.102160615128123e-12","27.21979257453577"
"3.117398319513178e-12","27.22021171982949"
