(v("/V_in+" ?result "tran") - v("/V_in-" ?result "tran")) X,(v("/V_in+" ?result "tran") - v("/V_in-" ?result "tran")) Y
2.410540242476212e-06,-0.3499999999562505
2.410593887927607e-06,-0.3499999999562505
2.410647771541108e-06,-0.3499999999562504
2.410701186868036e-06,-0.3499999999562504
2.410753544652854e-06,-0.3499999999562505
2.410804437890181e-06,-0.3499999999562503
2.410853613183146e-06,-0.3499999999562504
2.410900908565907e-06,-0.3499999999562504
2.410946203413225e-06,-0.3499999999562504
2.41098939277002e-06,-0.3499999999562505
2.411030379915065e-06,-0.3499999999562504
2.411069077634782e-06,-0.3499999999562504
2.411105411741404e-06,-0.3499999999562505
2.411139323930055e-06,-0.3499999999562504
2.41117077336682e-06,-0.3499999999562505
2.411199737636255e-06,-0.3499999999562504
2.411226214540116e-06,-0.3499999999562504
2.411250227359601e-06,-0.3499999999562505
2.41127181425601e-06,-0.3499999999562504
2.411291174666423e-06,-0.3499999999562504
2.411308527418652e-06,-0.3499999999562505
2.411324396222466e-06,-0.3499999999562504
2.411339597153508e-06,-0.3499999999562504
2.41135521741442e-06,-0.3499999999562503
2.41137276783104e-06,-0.3499999999562502
2.411395039751614e-06,-0.3499999999562481
2.411425121705832e-06,-0.3499999999561005
2.411461390707797e-06,-0.3499999998986566
2.41149239565877e-06,-0.349999981198921
2.41152056213385e-06,-0.3499953249185028
2.411526654903791e-06,-0.3499835008591491
2.41153389246661e-06,-0.3499391736646159
2.411538206570354e-06,-0.3498772968787948
2.411542727726726e-06,-0.3497727348279203
2.411546679095592e-06,-0.3496428060734326
2.411550219275059e-06,-0.349493476015678
2.411553884922278e-06,-0.3493052147295596
2.411555893775055e-06,-0.3491890011678543
2.411557611452496e-06,-0.3490829591483728
2.411559404422089e-06,-0.3489670543243532
2.411562445394571e-06,-0.3487621647832493
2.411565654759972e-06,-0.3485414720052741
2.411568880202626e-06,-0.3483246810252735
2.411571982734676e-06,-0.3481341120289128
2.411574597076426e-06,-0.3480040764524945
2.411576763001005e-06,-0.3479360489042993
2.411579073846523e-06,-0.3479246227392738
2.411580883928291e-06,-0.3479684954528827
2.41158290710261e-06,-0.3480744582580871
2.411585141368229e-06,-0.3482493498339471
2.411588002325707e-06,-0.3485227962155185
2.411590109098234e-06,-0.3487308404652476
2.411591735845466e-06,-0.3488778496455883
2.411593321880046e-06,-0.3490041070691966
2.41159512454775e-06,-0.3491257475769411
2.411597173447066e-06,-0.349236825170155
2.41159970243413e-06,-0.3493392151961289
2.411603423877853e-06,-0.3494383400464899
2.411606677766449e-06,-0.349489505738459
2.411609504889591e-06,-0.3495209473181495
2.411612273142413e-06,-0.3495389173300304
2.411615041586759e-06,-0.3495536370066051
2.411618093752377e-06,-0.3495680164131455
2.411621552536745e-06,-0.3495831977891256
2.411625675728315e-06,-0.3496005696288178
2.411631153002974e-06,-0.3496228837550693
2.411637481156711e-06,-0.349647469123426
2.411645002797138e-06,-0.3496741700949196
2.411653232065472e-06,-0.3496969879145712
2.411660979457378e-06,-0.3497033934364658
2.411667643904458e-06,-0.3496857977698961
2.411673567025555e-06,-0.3496439642631547
2.411679446699111e-06,-0.3495740176898428
2.411685080015719e-06,-0.349492972958798
2.4116900510813e-06,-0.3494211977729922
2.411694757508191e-06,-0.3493588219618684
2.411699885630191e-06,-0.3493033712121567
2.411707245746163e-06,-0.3492434957318922
2.411714361777361e-06,-0.349204084894459
2.411721119453659e-06,-0.3491786398074868
2.411728544326205e-06,-0.3491583670152136
2.411736910545352e-06,-0.3491403729342037
2.411746590724432e-06,-0.3491228244145472
2.411758428206343e-06,-0.3491037560252777
2.411772128400417e-06,-0.3490836399270087
