"db(v("/Vb5" ?result "ac")) X","db(v("/Vb5" ?result "ac")) Y","phaseDegUnwrapped(v("/Vb5" ?result "ac")) X","phaseDegUnwrapped(v("/Vb5" ?result "ac")) Y"
"0.001","-1.262381762921702","0.001","-179.9950102899462"
"0.001023292992280754","-1.262381761464947","0.001023292992280754","-179.9951239068961"
"0.0010471285480509","-1.262381760076162","0.0010471285480509","-179.995234938477"
"0.001071519305237606","-1.262381758752409","0.001071519305237606","-179.995343443559"
"0.001096478196143185","-1.262381757490874","0.001096478196143185","-179.995449479673"
"0.001122018454301963","-1.262381756288884","0.001122018454301963","-179.9955531030408"
"0.001148153621496882","-1.26238175514389","0.001148153621496882","-179.9956543686049"
"0.001174897554939529","-1.262381754053461","0.001174897554939529","-179.9957533300575"
"0.001202264434617413","-1.262381753015285","0.001202264434617413","-179.9958500398693"
"0.001230268770812381","-1.262381752027163","0.001230268770812381","-179.9959445493172"
"0.001258925411794167","-1.262381751086993","0.001258925411794167","-179.9960369085112"
"0.001288249551693133","-1.262381750192788","0.001288249551693133","-179.9961271664214"
"0.001318256738556406","-1.262381749342643","0.001318256738556406","-179.9962153709037"
"0.001348962882591653","-1.262381748534761","0.001348962882591653","-179.9963015687254"
"0.001380384264602884","-1.262381747767424","0.001380384264602884","-179.9963858055896"
"0.001412537544622754","-1.262381747039007","0.001412537544622754","-179.9964681261597"
"0.001445439770745927","-1.262381746347965","0.001445439770745927","-179.9965485740832"
"0.001479108388168207","-1.262381745692828","0.001479108388168207","-179.9966271920147"
"0.001513561248436207","-1.262381745072214","0.001513561248436207","-179.9967040216384"
"0.00154881661891248","-1.2623817444848","0.00154881661891248","-179.9967791036903"
"0.001584893192461112","-1.262381743929345","0.001584893192461112","-179.9968524779799"
"0.001621810097358929","-1.262381743404668","0.001621810097358929","-179.9969241834112"
"0.001659586907437559","-1.262381742909654","0.001659586907437559","-179.9969942580032"
"0.001698243652461743","-1.262381742443252","0.001698243652461743","-179.9970627389106"
"0.001737800828749374","-1.262381742004479","0.001737800828749374","-179.9971296624426"
"0.001778279410038921","-1.262381741592397","0.001778279410038921","-179.997195064083"
"0.001819700858609981","-1.262381741206136","0.001819700858609981","-179.9972589785086"
"0.001862087136662865","-1.262381740844878","0.001862087136662865","-179.9973214396076"
"0.001905460717963245","-1.262381740507849","0.001905460717963245","-179.9973824804976"
"0.001949844599758043","-1.262381740194343","0.001949844599758043","-179.9974421335433"
"0.001995262314968877","-1.262381739903685","0.001995262314968877","-179.9975004303734"
"0.002041737944669526","-1.262381739635268","0.002041737944669526","-179.9975574018976"
"0.002089296130854036","-1.262381739388517","0.002089296130854036","-179.9976130783229"
"0.002137962089502229","-1.262381739162912","0.002137962089502229","-179.9976674891697"
"0.002187761623949549","-1.262381738957967","0.002187761623949549","-179.9977206632871"
"0.002238721138568336","-1.262381738773255","0.002238721138568336","-179.9977726288687"
"0.002290867652767769","-1.262381738608376","0.002290867652767769","-179.9978234134673"
"0.002344228815319918","-1.262381738462982","0.002344228815319918","-179.9978730440094"
"0.002398832919019486","-1.262381738336769","0.002398832919019486","-179.9979215468097"
"0.002454708915685026","-1.262381738229465","0.002454708915685026","-179.9979689475849"
"0.002511886431509576","-1.262381738140841","0.002511886431509576","-179.9980152714674"
"0.002570395782768859","-1.262381738070709","0.002570395782768859","-179.9980605430186"
"0.002630267991895377","-1.262381738018922","0.002630267991895377","-179.9981047862419"
"0.00269153480392691","-1.262381737985365","0.00269153480392691","-179.9981480245956"
"0.002754228703338161","-1.262381737969964","0.002754228703338161","-179.9981902810049"
"0.002818382931264448","-1.262381737972693","0.002818382931264448","-179.9982315778747"
"0.0028840315031266","-1.262381737993548","0.0028840315031266","-179.998271937101"
"0.00295120922666638","-1.262381738032578","0.00295120922666638","-179.9983113800824"
"0.00301995172040201","-1.262381738089859","0.00301995172040201","-179.9983499277321"
"0.003090295432513584","-1.262381738165516","0.003090295432513584","-179.9983876004881"
"0.003162277660168373","-1.262381738259708","0.003162277660168373","-179.9984244183249"
"0.003235936569296276","-1.262381738372628","0.003235936569296276","-179.9984604007636"
"0.003311311214825904","-1.262381738504521","0.003311311214825904","-179.9984955668822"
"0.003388441561392018","-1.262381738655657","0.003388441561392018","-179.9985299353259"
"0.003467368504525309","-1.262381738826356","0.003467368504525309","-179.9985635243171"
"0.003548133892335747","-1.262381739016977","0.003548133892335747","-179.9985963516647"
"0.003630780547701005","-1.262381739227919","0.003630780547701005","-179.9986284347738"
"0.003715352290971717","-1.262381739459632","0.003715352290971717","-179.998659790655"
"0.003801893963205603","-1.262381739712597","0.003801893963205603","-179.9986904359332"
"0.003890451449942797","-1.262381739987356","0.003890451449942797","-179.9987203868563"
"0.003981071705534963","-1.262381740284472","0.003981071705534963","-179.9987496593043"
"0.004073802778041117","-1.262381740604587","0.004073802778041117","-179.9987782687973"
"0.004168693834703344","-1.262381740948366","0.004168693834703344","-179.9988062305038"
"0.004265795188015916","-1.262381741316531","0.004265795188015916","-179.9988335592491"
"0.004365158322401649","-1.262381741709863","0.004365158322401649","-179.9988602695224"
"0.00446683592150962","-1.262381742129183","0.00446683592150962","-179.9988863754853"
"0.004570881896148739","-1.262381742575369","0.004570881896148739","-179.9989118909787"
"0.004677351412871971","-1.262381743049368","0.004677351412871971","-179.9989368295305"
"0.004786300923226371","-1.262381743552172","0.004786300923226371","-179.9989612043625"
"0.00489778819368445","-1.262381744084839","0.00489778819368445","-179.9989850283979"
"0.00501187233627271","-1.262381744648484","0.00501187233627271","-179.9990083142673"
