phaseDegUnwrapped(v("/Vout+" ?result "ac")) X,phaseDegUnwrapped(v("/Vout+" ?result "ac")) Y
0.001,-1.638360180144941e-06
0.001023292992280754,-1.676517456880542e-06
0.0010471285480509,-1.715570519513578e-06
0.001071519305237606,-1.755526037828281e-06
0.001096478196143185,-1.796412795190459e-06
0.001122018454301963,-1.838263231991093e-06
0.001148153621496882,-1.88107801150546e-06
0.001174897554939529,-1.924901853972849e-06
0.001202264434617413,-1.969732564581641e-06
0.001230268770812381,-2.015612474511982e-06
0.001258925411794167,-2.062568946296388e-06
0.001288249551693133,-2.110616406991801e-06
0.001318256738556406,-2.159759391474267e-06
0.001348962882591653,-2.210078141649293e-06
0.001380384264602884,-2.261559281411722e-06
0.001412537544622754,-2.314243233623129e-06
0.001445439770745927,-2.368149269140638e-06
0.001479108388168207,-2.42331262630782e-06
0.001513561248436207,-2.479744092312384e-06
0.00154881661891248,-2.537517937204405e-06
0.001584893192461112,-2.596610281145004e-06
0.001621810097358929,-2.657105987762359e-06
0.001659586907437559,-2.718982053021417e-06
0.001698243652461743,-2.782319174636303e-06
0.001737800828749374,-2.847145728108869e-06
0.001778279410038921,-2.91344881352594e-06
0.001819700858609981,-2.981317069194213e-06
0.001862087136662865,-3.050758117722724e-06
0.001905460717963245,-3.121824235251758e-06
0.001949844599758043,-3.194529622417961e-06
0.001995262314968877,-3.268948061608397e-06
0.002041737944669526,-3.345082741248456e-06
0.002089296130854036,-3.422998115713286e-06
0.002137962089502229,-3.502748802658242e-06
0.002187761623949549,-3.58433291917209e-06
0.002238721138568336,-3.667819076094699e-06
0.002290867652767769,-3.753270837309227e-06
0.002344228815319918,-3.840674288311907e-06
0.002398832919019486,-3.930152242651378e-06
0.002454708915685026,-4.02167953544543e-06
0.002511886431509576,-4.11535057000453e-06
0.002570395782768859,-4.211209236731195e-06
0.002630267991895377,-4.309322353235993e-06
0.00269153480392691,-4.409687192629627e-06
0.002754228703338161,-4.512421334817633e-06
0.002818382931264448,-4.617504637236833e-06
0.0028840315031266,-4.725057124777419e-06
0.00295120922666638,-4.835128884938939e-06
0.00301995172040201,-4.947740990112738e-06
0.003090295432513584,-5.063004696045668e-06
0.003162277660168373,-5.180935371183482e-06
0.003235936569296276,-5.301593426308074e-06
0.003311311214825904,-5.425101170442903e-06
0.003388441561392018,-5.5514637401608e-06
0.003467368504525309,-5.680775792667068e-06
0.003548133892335747,-5.813112861096948e-06
0.003630780547701005,-5.948483040129434e-06
0.003715352290971717,-6.087053782505093e-06
0.003801893963205603,-6.228829974121487e-06
0.003890451449942797,-6.373945612032623e-06
0.003981071705534963,-6.522405679281033e-06
0.004073802778041117,-6.674310447599583e-06
0.004168693834703344,-6.829782111960276e-06
0.004265795188015916,-6.988862205879608e-06
0.004365158322401649,-7.151663391372419e-06
0.00446683592150962,-7.318271759765756e-06
0.004570881896148739,-7.488734361899483e-06
0.004677351412871971,-7.663171711791222e-06
0.004786300923226371,-7.841685218974734e-06
0.00489778819368445,-8.024342818325004e-06
0.00501187233627271,-8.211275393036361e-06
0.005128613839913635,-8.40248490703702e-06
0.005248074602497712,-8.598212396680537e-06
0.005370317963702512,-8.798532638863684e-06
0.00549540873857623,-9.003419576952312e-06
0.005623413251903474,-9.213154018193432e-06
0.005754399373371553,-9.427740824629394e-06
0.005888436553555873,-9.647338895087048e-06
0.00602559586074356,-9.872058502284952e-06
0.006165950018614803,-1.010199842568737e-05
0.006309573444801914,-1.033735830504109e-05
0.006456542290346536,-1.057807052206195e-05
0.00660693448007594,-1.082452819118832e-05
0.006760829753919797,-1.107665019623547e-05
0.006918309709189343,-1.133463162721264e-05
0.007079457843841356,-1.159869467578258e-05
0.007244359600749877,-1.186885942930623e-05
0.007413102413009151,-1.214533582153875e-05
0.007585775750291813,-1.24281416038822e-05
0.007762471166286891,-1.271764166172759e-05
0.007943282347242788,-1.301389080032771e-05
0.008128305161640965,-1.331699877060094e-05
0.008317637711026681,-1.362723158401319e-05
0.008511380382023735,-1.394460905399254e-05
0.008709635899560775,-1.426944518139826e-05
0.008912509381337422,-1.460170271489428e-05
0.009120108393559064,-1.494189498561462e-05
0.009332543007969875,-1.529001439576321e-05
0.009549925860214322,-1.564617535348912e-05
0.009772372209558068,-1.601066956816922e-05
0.00999999999999996,-1.638354530934549e-05
0.0102329299228075,-1.676515181053265e-05
0.01047128548050895,-1.715571485636531e-05
0.01071519305237602,-1.755527250274684e-05
0.01096478196143181,-1.796430254721964e-05
0.01122018454301959,-1.838266788984995e-05
0.01148153621496878,-1.881086205767306e-05
0.01174897554939525,-1.924894318271579e-05
0.01202264434617408,-1.96973589145079e-05
0.01230268770812376,-2.015597975378367e-05
0.01258925411794162,-2.062574502076737e-05
0.01288249551693128,-2.110612936506303e-05
0.01318256738556401,-2.159764022099174e-05
0.01348962882591648,-2.210083598619675e-05
0.01380384264602879,-2.261549239225751e-05
0.01412537544622748,-2.314227179627372e-05
0.01445439770745921,-2.368149466140631e-05
0.01479108388168201,-2.423290504300274e-05
0.01513561248436201,-2.479749214252847e-05
0.01548816618912474,-2.537508397488372e-05
0.01584893192461106,-2.596597399909863e-05
0.01621810097358923,-2.657102031310462e-05
0.01659586907437553,-2.718977650691217e-05
0.01698243652461736,-2.782325347074541e-05
0.01737800828749367,-2.847134016010513e-05
0.01778279410038914,-2.913457489043354e-05
0.01819700858609975,-2.981297778188057e-05
0.01862087136662858,-3.05075819553909e-05
0.01905460717963238,-3.12183514140015e-05
0.01949844599758035,-3.194556443187082e-05
