db(v("/Vout+" ?result "ac")) X,db(v("/Vout+" ?result "ac")) Y
0.001,-50.14648038020865
0.001023292992280754,-50.14648038022594
0.0010471285480509,-50.14648038023065
0.001071519305237606,-50.1464803802608
0.001096478196143185,-50.14648038035961
0.001122018454301963,-50.14648038034005
0.001148153621496882,-50.14648038015449
0.001174897554939529,-50.14648038004434
0.001202264434617413,-50.14648038024057
0.001230268770812381,-50.14648038033648
0.001258925411794167,-50.1464803801347
0.001288249551693133,-50.14648038013378
0.001318256738556406,-50.14648038032902
0.001348962882591653,-50.14648038036232
0.001380384264602884,-50.14648038002557
0.001412537544622754,-50.14648038021365
0.001445439770745927,-50.14648038040797
0.001479108388168207,-50.14648038025588
0.001513561248436207,-50.14648038006348
0.00154881661891248,-50.14648038020106
0.001584893192461112,-50.14648038016097
0.001621810097358929,-50.14648038034029
0.001659586907437559,-50.14648038016712
0.001698243652461743,-50.146480380269
0.001737800828749374,-50.14648038015432
0.001778279410038921,-50.14648038023145
0.001819700858609981,-50.14648038028711
0.001862087136662865,-50.14648038006563
0.001905460717963245,-50.14648038030205
0.001949844599758043,-50.14648038001239
0.001995262314968877,-50.14648038007622
0.002041737944669526,-50.14648038034535
0.002089296130854036,-50.14648038016777
0.002137962089502229,-50.14648038038614
0.002187761623949549,-50.1464803800971
0.002238721138568336,-50.14648038034133
0.002290867652767769,-50.14648038019436
0.002344228815319918,-50.14648038027934
0.002398832919019486,-50.14648038047
0.002454708915685026,-50.14648038023279
0.002511886431509576,-50.14648038028242
0.002570395782768859,-50.14648038008037
0.002630267991895377,-50.14648038011651
0.00269153480392691,-50.14648038015782
0.002754228703338161,-50.1464803801964
0.002818382931264448,-50.14648038012261
0.0028840315031266,-50.14648038016453
0.00295120922666638,-50.14648038022885
0.00301995172040201,-50.14648038018506
0.003090295432513584,-50.14648038027754
0.003162277660168373,-50.14648038013524
0.003235936569296276,-50.14648038022234
0.003311311214825904,-50.14648038038771
0.003388441561392018,-50.146480380282
0.003467368504525309,-50.14648038020955
0.003548133892335747,-50.1464803803194
0.003630780547701005,-50.14648038039701
0.003715352290971717,-50.14648038022243
0.003801893963205603,-50.14648038022923
0.003890451449942797,-50.14648037999466
0.003981071705534963,-50.14648038031695
0.004073802778041117,-50.14648038029186
0.004168693834703344,-50.14648038016144
0.004265795188015916,-50.14648038036049
0.004365158322401649,-50.14648038041956
0.00446683592150962,-50.14648038032989
0.004570881896148739,-50.14648038035062
0.004677351412871971,-50.14648038018472
0.004786300923226371,-50.14648038045608
0.00489778819368445,-50.14648038037048
0.00501187233627271,-50.14648038030649
0.005128613839913635,-50.14648038046106
0.005248074602497712,-50.14648038022869
0.005370317963702512,-50.14648038029424
0.00549540873857623,-50.14648038042252
0.005623413251903474,-50.1464803803896
0.005754399373371553,-50.14648038050726
0.005888436553555873,-50.14648038047245
0.00602559586074356,-50.14648038019124
0.006165950018614803,-50.14648038034663
0.006309573444801914,-50.14648038027336
0.006456542290346536,-50.14648038035597
0.00660693448007594,-50.14648038043373
0.006760829753919797,-50.14648038028243
0.006918309709189343,-50.14648038026757
0.007079457843841356,-50.14648038055694
0.007244359600749877,-50.14648038035123
0.007413102413009151,-50.14648038035536
0.007585775750291813,-50.1464803801568
0.007762471166286891,-50.14648038039284
0.007943282347242788,-50.14648038047667
0.008128305161640965,-50.14648038048576
0.008317637711026681,-50.14648038039194
0.008511380382023735,-50.14648038009852
0.008709635899560775,-50.14648038037136
0.008912509381337422,-50.14648038038355
0.009120108393559064,-50.14648038033123
0.009332543007969875,-50.14648038033171
0.009549925860214322,-50.14648038040757
0.009772372209558068,-50.14648038059887
0.00999999999999996,-50.14648038044481
0.0102329299228075,-50.14648038059849
0.01047128548050895,-50.14648038049568
0.01071519305237602,-50.14648038034929
0.01096478196143181,-50.14648038047036
0.01122018454301959,-50.14648038026876
0.01148153621496878,-50.14648038030019
0.01174897554939525,-50.14648038049189
0.01202264434617408,-50.14648038027151
0.01230268770812376,-50.14648038074648
0.01258925411794162,-50.1464803803292
0.01288249551693128,-50.14648038041028
0.01318256738556401,-50.1464803806362
0.01348962882591648,-50.14648038058185
0.01380384264602879,-50.14648038032746
0.01412537544622748,-50.14648038054338
0.01445439770745921,-50.1464803803929
0.01479108388168201,-50.14648038052121
0.01513561248436201,-50.14648038069154
0.01548816618912474,-50.14648038069761
0.01584893192461106,-50.14648038080672
0.01621810097358923,-50.14648038050141
0.01659586907437553,-50.1464803804521
0.01698243652461736,-50.14648038056637
0.01737800828749367,-50.14648038065009
0.01778279410038914,-50.14648038070605
0.01819700858609975,-50.14648038067353
0.01862087136662858,-50.1464803806676
0.01905460717963238,-50.14648038052736
0.01949844599758035,-50.14648038076312
0.01995262314968869,-50.14648038078487
0.02041737944669519,-50.14648038086616
0.02089296130854029,-50.14648038092577
0.02137962089502221,-50.14648038046509
0.02187761623949541,-50.14648038074692
0.02238721138568328,-50.1464803806242
0.02290867652767761,-50.14648038059516
0.0234422881531991,-50.14648038085845
0.02398832919019478,-50.14648038041238
0.02454708915685017,-50.14648038068424
0.02511886431509567,-50.14648038076702
0.0257039578276885,-50.146480380714
0.02630267991895368,-50.14648038065851
0.02691534803926901,-50.14648038074537
0.02754228703338151,-50.1464803808247
0.02818382931264438,-50.14648038082319
0.0288403150312659,-50.14648038086601
0.02951209226666369,-50.14648038091803
0.03019951720401999,-50.14648038105395
0.03090295432513573,-50.14648038114741
0.03162277660168361,-50.14648038126256
0.03235936569296264,-50.14648038118003
0.03311311214825892,-50.14648038123027
