(v("/V_in+" ?result "tran") - v("/V_in-" ?result "tran")) X,(v("/V_in+" ?result "tran") - v("/V_in-" ?result "tran")) Y
0,0
2e-06,0.01099376541078545
2.085906750064629e-06,0.01146581923395817
2.205301819739301e-06,0.01212185504558139
2.282749839203678e-06,0.01254738324912363
2.349478338908796e-06,0.0129139995578359
2.426413254675258e-06,0.01333667380069747
2.443095424544953e-06,0.01342832175265352
2.4514365094798e-06,0.01347414538322977
2.455607051947224e-06,0.01349705711184401
2.463948136882071e-06,0.01354288039516693
2.466174777914922e-06,0.01355511281770749
2.470628059980624e-06,0.01357957761299367
2.475181332298533e-06,0.01360459165154682
2.478566308097325e-06,0.01362318744459701
2.479245273730385e-06,0.01362691742362898
2.479584756546915e-06,0.01362878241254728
2.48002700238799e-06,0.0136312119417128
2.48051049926529e-06,0.01363386808748712
2.480926332433857e-06,0.01363615251427641
2.481089843057979e-06,0.01363705077830601
2.481177556852652e-06,0.01363753264389567
2.481241324475121e-06,0.0136378829584618
2.481329883191512e-06,0.01363836946567876
2.48139308521066e-06,0.01363871667300742
2.481473428076503e-06,0.0136391580231815
2.481501943893183e-06,0.01363931079092051
2.481537242124542e-06,0.01363864466742815
2.481561289197069e-06,0.01362665552995768
2.481587261247582e-06,0.01362611009898695
2.481615724960111e-06,0.01360958123135048
2.481643094024089e-06,0.01360871122988661
2.481676583943071e-06,0.01359831098221898
2.481717751032214e-06,0.01360518735740734
2.481770117876672e-06,0.01361651768505601
2.481823593886866e-06,0.01364248841011229
2.4818791666203e-06,0.01364776781924726
2.481953605554222e-06,0.01364761677644588
2.482026893816016e-06,0.01363891012043161
2.482108627580198e-06,0.01363912238813647
2.482211281866233e-06,0.01363586454185306
2.482362272153204e-06,0.0136384786538164
2.482448219282142e-06,0.01363682932445687
2.482514173746137e-06,0.01364002859428959
2.482587408678512e-06,0.01363837909807863
2.482651769294117e-06,0.01364086077742421
2.482683949601919e-06,0.01363834391032293
2.482748310217525e-06,0.01364027381660537
2.48276399114916e-06,0.01363500911390703
2.482795353012429e-06,0.01360139619793888
2.482820483102167e-06,0.01360083185224237
2.482833048147035e-06,0.01360540963340684
2.482858178236773e-06,0.01360215458461356
2.482893084794899e-06,0.01358596088459008
2.482935360658418e-06,0.01357681466696836
2.482993315505479e-06,0.01356963240058484
2.483057786891273e-06,0.01356683499500533
2.48314246883608e-06,0.01356599362980382
