I0.phi_h X,I0.phi_h Y
2.480244499224552e-06,1.816583286903522e-07
2.480411587317435e-06,-1.567576196644945e-06
2.480608012303491e-06,-1.092743599382927e-05
2.480765017074428e-06,-3.153431992937537e-05
2.480894523477613e-06,-5.657541394801952e-05
2.481020391236404e-06,-9.041372902455222e-05
2.481135160744504e-06,-0.0001485062484108738
2.48118249563124e-06,-0.0002032742370157556
2.481225380048731e-06,-0.0002837037155827536
2.481266840185913e-06,-0.0004076054524035708
2.481299504228068e-06,-0.0005447381208772655
2.481329413617423e-06,-0.0006799064792450945
2.481355181400035e-06,-0.0007884784708234703
2.481378912921678e-06,-0.0008860723890362068
2.481415427163782e-06,-0.001025000625981568
2.481461507237378e-06,-0.001193368670790439
2.481493968056196e-06,-0.001298175692011647
2.481507815663883e-06,-0.001333330477801207
2.481518497870072e-06,-0.00135291487020209
2.481524967293101e-06,-0.001348659433868631
2.481533033914173e-06,-0.001286343051584775
2.481538847274238e-06,-0.001182985225454192
2.481544063613135e-06,-0.001039996113899265
2.481549667670676e-06,-0.0008314094359695434
2.481556343508697e-06,-0.0005166077411663474
2.481565468604182e-06,-5.13697883440642e-06
2.481572120591483e-06,0.0003828636716078384
2.481577683717951e-06,0.0007186333783569392
2.481582413786358e-06,0.0009993627235713436
2.481587578290999e-06,0.001291180150178658
2.481593815615096e-06,0.00161078728849071
2.48159929481252e-06,0.001852655012845081
2.481604814036146e-06,0.002051074396584846
2.481610492133835e-06,0.002201307561114638
2.48161655625843e-06,0.002297486151649644
2.48162346513611e-06,0.002328840246007362
2.481632542154402e-06,0.002263865042899851
2.481641630415491e-06,0.002092254065121344
2.48164931174545e-06,0.001889603028230134
2.481655627138026e-06,0.001703592860593375
2.481661474364893e-06,0.00153092465842893
2.481667342769873e-06,0.001365364533628045
2.481673652263786e-06,0.001200626848100524
2.481680775946625e-06,0.001038892126723316
2.481687865070869e-06,0.0008951230070702443
2.481697865597597e-06,0.0007192561667859495
2.481714055329461e-06,0.0005084013298192137
2.481728614595765e-06,0.0003863176184255149
2.481743438390985e-06,0.0003104510063461483
2.481758297903469e-06,0.0002693325821991474
2.481772953411047e-06,0.0002455358673464941
2.481786112313559e-06,0.0002329263604508186
2.481802178143651e-06,0.000226329703643314
2.481825605911847e-06,0.0002245921092041938
2.481851603012954e-06,0.000226221897001613
2.481888607527036e-06,0.0002286454066339993
2.481929751047565e-06,0.0002291073442085928
2.48196334006856e-06,0.0002275556125365119
2.481995127742637e-06,0.0002246439953074188
2.482027680742058e-06,0.0002203127366521625
2.48206123876331e-06,0.0002145832087208942
2.482095362392359e-06,0.0002076027309203634
2.482129310835883e-06,0.000199628273044615
2.482162581766556e-06,0.0001909259946837958
2.482194901802989e-06,0.0001817525357613736
2.482226104084875e-06,0.0001728477624876922
2.4822558842041e-06,0.0001638680296937625
2.482284739595982e-06,0.0001557679619935201
2.48231197689988e-06,0.0001490055382766758
2.482337790630912e-06,0.0001436929613660436
2.482362187851768e-06,0.0001400636602688114
2.482385101493042e-06,0.0001392896667031115
2.482406410929225e-06,0.0001398209546559406
2.482426513765961e-06,0.0001428775615919694
2.482445186798665e-06,0.0001489915991119533
2.482462640935301e-06,0.0001580893360508769
2.482479158363076e-06,0.0001700605320760315
2.482495059992601e-06,0.00018441551491319
2.48251094896264e-06,0.000200115313024717
2.482527913105878e-06,0.0002157592393336056
2.482547968495683e-06,0.0002305925271356797
2.482576285196194e-06,0.0002402761512540728
2.48261621644861e-06,0.0002310906733898635
2.482651925206535e-06,0.0002093903512090688
2.482686587049871e-06,0.0001802422524768555
2.482720787819914e-06,0.0001402006885356017
2.482731969048976e-06,0.0001076731478132488
2.482740956560551e-06,4.141641099284459e-05
2.482746904606686e-06,-5.583564239156639e-05
2.48275304558307e-06,-0.0002493578788077809
2.482758221162065e-06,-0.0005097401217323997
2.482763607563792e-06,-0.0008661350540087201
2.482767487500117e-06,-0.001145263363584333
2.482771364046276e-06,-0.001396423823239643
2.48277466443005e-06,-0.001553965651876742
2.482777756683863e-06,-0.001633103375473196
2.482781137423523e-06,-0.001628604131058976
2.482785096670853e-06,-0.001523489960768241
2.482789133313248e-06,-0.00134275121592723
2.482792609521894e-06,-0.001150019435200405
2.482796347866502e-06,-0.0009395900620996337
2.482799705397357e-06,-0.0007655005268757707
2.48280355278951e-06,-0.0005974642605910039
2.482808148800951e-06,-0.0004472588342286194
2.482814435233855e-06,-0.000319967830465984
2.482821121218171e-06,-0.0002562528393735122
2.482827354462359e-06,-0.0002329020594229536
2.482833269851139e-06,-0.0002241182681781044
2.482839938619273e-06,-0.0002162354425340515
2.48284798210784e-06,-0.0002012552057514577
2.482859052100922e-06,-0.0001669270143877113
2.482873609924589e-06,-0.0001232777748254797
2.482886906750989e-06,-8.746658474551612e-05
2.482909046986563e-06,-4.269775908527784e-05
2.482935354856107e-06,-1.490170592409705e-05
2.482962572007231e-06,-5.045953311114636e-06
2.482993516159302e-06,-3.327496969592381e-06
2.483030194302354e-06,-4.126324088113323e-06
2.483077430409584e-06,-4.879484193494095e-06
2.483135166466268e-06,-4.579806072457342e-06
2.483197949847331e-06,-3.565492501657936e-06
2.483266142757694e-06,-2.593522885742159e-06
2.483346840333688e-06,-1.824088969120286e-06
2.483430303294182e-06,-1.350544935127151e-06
2.483531732760427e-06,-9.756129579345242e-07
2.483651066773078e-06,-5.137314163165749e-07
2.483744158350945e-06,-1.536972296593548e-07
2.483840739360801e-06,1.741652815503559e-07
2.483958529240375e-06,4.663714789958959e-07
2.484113384311331e-06,7.405923461463867e-07
2.484305258792143e-06,9.742719193970137e-07
2.484525698997901e-06,1.134284252549539e-06
2.484779537316808e-06,1.220090537296243e-06
2.485079748234066e-06,1.239162767946808e-06
2.485440630702556e-06,1.199713245424595e-06
2.485878484793423e-06,1.11327482654339e-06
2.486386949021848e-06,1.000253411870653e-06
2.48698258667964e-06,8.767321681594858e-07
2.487714883138376e-06,7.496427372004819e-07
2.488593730827627e-06,6.299738893193727e-07
2.489602039045393e-06,5.250785035707218e-07
2.490782032989985e-06,4.315752598884721e-07
2.492197553621809e-06,3.459423044228036e-07
2.493535835266685e-06,2.825816606562691e-07
2.494922048604368e-06,2.303725309734439e-07
2.496543243572047e-06,1.820883103583324e-07
2.498192224072661e-06,1.437329312777142e-07
2.49999640923648e-06,1.115147812538423e-07
2.502132648545852e-06,8.33688771867201e-08
2.504775984711016e-06,5.93342657420947e-08
2.507968225932171e-06,4.110408580963848e-08
2.511856718307827e-06,2.873125186180766e-08
2.516619783676924e-06,2.159136211249148e-08
2.522454606943228e-06,1.841984789348463e-08
2.529580957738585e-06,1.763236868451832e-08
2.538262474182701e-06,1.783804645751113e-08
2.548810588000185e-06,1.819047342437793e-08
2.561591267269573e-06,1.838755437883254e-08
2.577039161353925e-06,1.844132937964528e-08
2.595693992465903e-06,1.843940523131531e-08
2.618293010917301e-06,1.843304399136913e-08
2.64603168788893e-06,1.843266578430737e-08
2.680295419621332e-06,1.843462111351617e-08
2.720181862275732e-06,1.843600456135475e-08
2.759777603862457e-06,1.84365156653415e-08
2.794673014374488e-06,1.843664848446526e-08
2.834679540183712e-06,1.843667350587772e-08
2.897445752689181e-06,1.843663343972555e-08
2.96e-06,1.843657390637109e-08
2.968600725701161e-06,1.843656452130118e-08
2.977737549862011e-06,1.843655563421653e-08
2.990228433552484e-06,1.843654462353211e-08
3.015210200933432e-06,1.843652556181788e-08
3.065173735695326e-06,1.843649770858399e-08
3.165100805219116e-06,1.843646786506282e-08
3.364954944266695e-06,1.843645324100394e-08
3.764663222361852e-06,1.843646756945062e-08
4.564079778552168e-06,1.84365084695144e-08
6.1629128909328e-06,1.843655159267033e-08
9.360579115694064e-06,1.843655794582287e-08
1.575591156521659e-05,1.843653919895655e-08
2.854657646426165e-05,1.843653378037093e-08
5.412790626235178e-05,1.843653649140255e-08
9.896e-05,1.843653711421976e-08
9.911068058932722e-05,1.843653714749071e-08
