phaseDegUnwrapped((v("/net8" ?result "ac") - v("/net7" ?result "ac"))) X,phaseDegUnwrapped((v("/net8" ?result "ac") - v("/net7" ?result "ac"))) Y
0.001,-0.2360696741405819
0.001023292992280754,-0.2415683788177138
0.0010471285480509,-0.2471951601646876
0.001071519305237606,-0.2529530011539032
0.001096478196143185,-0.25884495420833
0.001122018454301963,-0.2648741428026894
0.001148153621496882,-0.271043763167152
0.001174897554939529,-0.2773570859533183
0.001202264434617413,-0.283817457920559
0.001230268770812381,-0.2904283038255125
0.001258925411794167,-0.2971931281175674
0.001288249551693133,-0.3041155168259258
0.001318256738556406,-0.3111991394615908
0.001348962882591653,-0.3184477510371585
0.001380384264602884,-0.3258651939123616
0.001412537544622754,-0.3334553999127097
0.001445439770745927,-0.3412223924053649
0.001479108388168207,-0.3491702884163219
0.001513561248436207,-0.3573033007700256
0.00154881661891248,-0.3656257404420239
0.001584893192461112,-0.37414201864391
0.001621810097358929,-0.3828566493456216
0.001659586907437559,-0.3917742515193319
0.001698243652461743,-0.4008995516728501
0.001737800828749374,-0.4102373863369185
0.001778279410038921,-0.4197927045120949
0.001819700858609981,-0.4295705704931554
0.001862087136662865,-0.4395761663258521
0.001905460717963245,-0.4498147946355353
0.001949844599758043,-0.4602918815000378
0.001995262314968877,-0.4710129792143491
0.002041737944669526,-0.4819837692004417
0.002089296130854036,-0.4932100651475124
0.002137962089502229,-0.5046978158849906
0.002187761623949549,-0.5164531087087628
0.002238721138568336,-0.5284821724427207
0.002290867652767769,-0.5407913808392606
0.002344228815319918,-0.5533872558374522
0.002398832919019486,-0.5662764710638728
0.002454708915685026,-0.5794658553602337
0.002511886431509576,-0.5929623962780632
0.002570395782768859,-0.6067732438985955
0.002630267991895377,-0.6209057144611593
0.00269153480392691,-0.6353672943276761
0.002754228703338161,-0.6501656438336817
0.002818382931264448,-0.6653086013813752
0.0028840315031266,-0.6808041874537589
0.00295120922666638,-0.696660609015446
0.00301995172040201,-0.7128862635704436
0.003090295432513584,-0.729489743758713
0.003162277660168373,-0.7464798418300291
0.003235936569296276,-0.7638655542150984
0.003311311214825904,-0.78165608619572
0.003388441561392018,-0.7998608568028476
0.003467368504525309,-0.8184895038205749
0.003548133892335747,-0.8375518885714734
0.003630780547701005,-0.8570581013240467
0.003715352290971717,-0.8770184663882543
0.003801893963205603,-0.8974435476846854
0.003890451449942797,-0.9183441540225917
0.003981071705534963,-0.9397313449660406
0.004073802778041117,-0.9616164364520166
0.004168693834703344,-0.9840110066033755
0.004265795188015916,-1.006926902000645
0.004365158322401649,-1.0303762435779
0.00446683592150962,-1.054371433083494
0.004570881896148739,-1.078925159399952
0.004677351412871971,-1.104050405068044
0.004786300923226371,-1.129760453208753
0.00489778819368445,-1.156068894234391
0.00501187233627271,-1.182989632708732
0.005128613839913635,-1.210536894873525
0.005248074602497712,-1.238725235726514
0.005370317963702512,-1.267569546401812
0.00549540873857623,-1.297085062019006
0.005623413251903474,-1.327287369445719
0.005754399373371553,-1.358192415149048
0.005888436553555873,-1.389816513420898
0.00602559586074356,-1.422176354612858
0.006165950018614803,-1.455289013818468
0.006309573444801914,-1.489171959183015
0.006456542290346536,-1.52384306109708
0.00660693448007594,-1.559320600935816
0.006760829753919797,-1.595623280675624
0.006918309709189343,-1.63277023154637
0.007079457843841356,-1.67078102465603
0.007244359600749877,-1.709675679663314
0.007413102413009151,-1.749474675679287
0.007585775750291813,-1.790198960983613
0.007762471166286891,-1.831869963391078
0.007943282347242788,-1.874509600985186
0.008128305161640965,-1.91814029284138
0.008317637711026681,-1.962784969982028
0.008511380382023735,-2.008467086640637
0.008709635899560775,-2.055210631672213
0.008912509381337422,-2.103040140062882
0.009120108393559064,-2.151980704901475
0.009332543007969875,-2.202057989117407
0.009549925860214322,-2.253298238541429
0.009772372209558068,-2.305728292974603
0.00999999999999996,-2.35937560018446
0.0102329299228075,-2.414268228429307
0.01047128548050895,-2.470434878964397
0.01071519305237602,-2.527904900145214
0.01096478196143181,-2.586708300621199
0.01122018454301959,-2.646875762686832
0.01148153621496878,-2.708438657121091
0.01174897554939525,-2.77142905630338
0.01202264434617408,-2.835879749129842
0.01230268770812376,-2.901824255387885
0.01258925411794162,-2.96929684076659
0.01288249551693128,-3.038332530857086
0.01318256738556401,-3.108967127063532
0.01348962882591648,-3.181237221568295
0.01380384264602879,-3.255180212643788
0.01412537544622748,-3.330834319807034
0.01445439770745921,-3.408238600318301
0.01479108388168201,-3.487432964077944
0.01513561248436201,-3.568458189887653
0.01548816618912474,-3.651355941409188
0.01584893192461106,-3.736168783064313
0.01621810097358923,-3.822940195970476
0.01659586907437553,-3.911714594854574
0.01698243652461736,-4.002537342623349
0.01737800828749367,-4.095454768665262
0.01778279410038914,-4.190514182481011
0.01819700858609975,-4.2877638914995
0.01862087136662858,-4.387253216506051
0.01905460717963238,-4.489032506548599
0.01949844599758035,-4.593153155652314
0.01995262314968869,-4.699667617580889
0.02041737944669519,-4.808629421690116
0.02089296130854029,-4.920093186159294
0.02137962089502221,-5.034114633830246
0.02187761623949541,-5.150750605935538
0.02238721138568328,-5.270059075959757
0.02290867652767761,-5.392099161398673
0.0234422881531991,-5.516931138032803
0.02398832919019478,-5.644616450221704
0.02454708915685017,-5.775217722467821
0.02511886431509567,-5.90879876981178
0.0257039578276885,-6.045424607015855
0.02630267991895368,-6.185161455958782
0.02691534803926901,-6.328076754898362
0.02754228703338151,-6.474239161020853
0.02818382931264438,-6.623718559180814
0.0288403150312659,-6.776586060865989
