(v("/V_in+" ?result "tran") - v("/V_in-" ?result "tran")) X,(v("/V_in+" ?result "tran") - v("/V_in-" ?result "tran")) Y
0,-0.3499999999562509
2e-06,-0.3499999999562509
2.001078884374198e-06,-0.3499999999562509
2.001878891877638e-06,-0.3499999999562508
2.00347890688452e-06,-0.3499999999562509
2.005363639512052e-06,-0.3499999999562508
2.009133104767118e-06,-0.3499999999562509
2.01667203527725e-06,-0.3499999999562509
2.031749896297512e-06,-0.3499999999562509
2.061905618338038e-06,-0.3499999999562509
2.122217062419089e-06,-0.3499999999562509
2.146391747905048e-06,-0.3499999999562509
2.185360352808665e-06,-0.3499999999562509
2.199017822000257e-06,-0.3499999999562509
2.213104862437425e-06,-0.3499999999562509
2.226307811947177e-06,-0.3499999999562509
2.236587086521838e-06,-0.3499999999562506
2.245245128811288e-06,-0.3499999999562509
2.253170513465056e-06,-0.3499999999562509
2.260705069013279e-06,-0.3499999999562509
2.268035972006862e-06,-0.3499999999562509
2.275313067258626e-06,-0.3499999999562509
2.282667731062902e-06,-0.3499999999562509
2.290221167091317e-06,-0.3499999999562509
2.298092361917032e-06,-0.3499999999562509
2.306400564799707e-06,-0.3499999999562509
2.315257418344906e-06,-0.3499999999562509
2.324741995900246e-06,-0.3499999999562509
2.33485290013898e-06,-0.3499999999562509
2.345452676153826e-06,-0.3499999999562509
2.356263379307129e-06,-0.3499999999562509
2.366961322063926e-06,-0.3499999999562509
2.377300957181515e-06,-0.3499999999562509
2.387155705900469e-06,-0.3499999999562509
2.396478777836859e-06,-0.3499999999562509
2.405253773723959e-06,-0.3499999999562509
2.413468949982399e-06,-0.3499999999562509
2.421110515175607e-06,-0.3499999999562508
2.428163571974184e-06,-0.3499999999562509
2.434614806873898e-06,-0.3499999999562508
2.44045509516942e-06,-0.3499999999562508
2.44568161124773e-06,-0.3499999999562508
2.45029944411238e-06,-0.3499999999562508
2.454322871772913e-06,-0.3499999999562508
2.457776501668588e-06,-0.3499999999562508
2.460696443008585e-06,-0.3499999999562509
2.463128148537808e-06,-0.3499999999562509
2.465142167864533e-06,-0.3499999999562509
2.466803502933865e-06,-0.3499999999562509
2.468192041740015e-06,-0.3499999999562508
2.4688929981438e-06,-0.3499999999562509
2.469568602418972e-06,-0.3499999999562508
2.470149126640232e-06,-0.3499999999562508
2.470626256179805e-06,-0.3499999999562506
2.471043357355007e-06,-0.3499999999562509
2.471423913930609e-06,-0.3499999999562508
2.471780501405295e-06,-0.3499999999562509
2.472121320650259e-06,-0.3499999999562508
2.472452226433851e-06,-0.3499999999562508
2.47277785352431e-06,-0.3499999999562509
2.47310205263148e-06,-0.3499999999562508
2.473428049796616e-06,-0.3499999999562508
2.473758481658108e-06,-0.3499999999562508
2.474095307833701e-06,-0.3499999999562508
2.474439604634395e-06,-0.3499999999562509
2.474791289036251e-06,-0.3499999999562509
2.475148899177528e-06,-0.3499999999562509
2.475509620584318e-06,-0.3499999999562508
2.475869691337601e-06,-0.3499999999562509
2.476225095292913e-06,-0.3499999999562509
2.476572229780546e-06,-0.3499999999562509
2.476908261229379e-06,-0.3499999999562508
2.477231128951678e-06,-0.3499999999562506
2.47753935572845e-06,-0.3499999999562508
2.477831838092123e-06,-0.3499999999562509
2.478107702590269e-06,-0.3499999999562508
2.478366239042839e-06,-0.3499999999562508
2.47860689179913e-06,-0.3499999999562508
2.478829289409539e-06,-0.3499999999562508
2.479033300957749e-06,-0.3499999999562509
2.479219110493708e-06,-0.3499999999562509
2.479387292905376e-06,-0.3499999999562509
2.47953886205254e-06,-0.3499999999562508
2.479675283340316e-06,-0.3499999999562508
2.479798539309587e-06,-0.3499999999562509
2.479911425000519e-06,-0.3499999999562509
2.480018151251364e-06,-0.3499999999562509
2.480125298516184e-06,-0.3499999999562506
2.480244499224552e-06,-0.3499999999562509
2.480411587317435e-06,-0.3499999999562508
2.480608012303491e-06,-0.3499999999562509
2.480765017074428e-06,-0.3499999999562509
2.480894523477613e-06,-0.3499999999562509
2.481020391236404e-06,-0.3499999999562509
2.481135160744504e-06,-0.3499999999562509
2.48118249563124e-06,-0.3499999999562508
2.481225380048731e-06,-0.3499999999562509
2.481266840185913e-06,-0.3499999999562509
2.481299504228068e-06,-0.3499999999562508
2.481329413617423e-06,-0.3499999999562502
2.481355181400035e-06,-0.3499999999562435
2.481378912921678e-06,-0.3499999999561535
2.481415427163782e-06,-0.3499999999491531
2.481461507237378e-06,-0.349999995880187
2.481493968056196e-06,-0.349999305209152
2.481507815663883e-06,-0.3499910565953699
2.481518497870072e-06,-0.3499589469326287
2.481524967293101e-06,-0.3499273931067451
2.481533033914173e-06,-0.3498906171322378
2.481538847274238e-06,-0.3498602149369497
2.481544063613135e-06,-0.3498255085057098
2.481549667670676e-06,-0.3497802739829567
2.481556343508697e-06,-0.3497181117549227
2.481565468604182e-06,-0.349625013524591
2.481572120591483e-06,-0.3495561432973195
2.481577683717951e-06,-0.3495006910750466
2.481582413786358e-06,-0.3494566319224475
2.481587578290999e-06,-0.3494131320525927
2.481593815615096e-06,-0.3493687919722627
2.48159929481252e-06,-0.3493389128542268
2.481604814036146e-06,-0.3493187365336791
2.481610492133835e-06,-0.3493090612330433
2.48161655625843e-06,-0.3493109898860912
2.48162346513611e-06,-0.3493272068733475
2.481632542154402e-06,-0.3493671812898921
2.481641630415491e-06,-0.349423411518719
2.48164931174545e-06,-0.3494795728057545
2.481655627138026e-06,-0.3495285891275006
2.481661474364893e-06,-0.3495738202100435
2.481667342769873e-06,-0.3496176567892862
2.481673652263786e-06,-0.3496620669120815
2.481680775946625e-06,-0.3497085316597692
2.481687865070869e-06,-0.3497497293980196
2.481697865597597e-06,-0.3497990094855576
2.481714055329461e-06,-0.3498596589748143
2.481728614595765e-06,-0.3498969820444761
2.481743438390985e-06,-0.3499222267904371
2.481758297903469e-06,-0.3499398524766232
2.481772953411047e-06,-0.3499502400536225
2.481786112313559e-06,-0.349955797117448
2.481802178143651e-06,-0.3499604818570508
2.481825605911847e-06,-0.3499647171760814
2.481851603012954e-06,-0.3499674428711885
2.481888607527036e-06,-0.3499696688161361
2.481929751047565e-06,-0.3499710593041455
2.48196334006856e-06,-0.3499717686489172
2.481995127742637e-06,-0.3499722788285237
2.482027680742058e-06,-0.3499727099260005
2.48206123876331e-06,-0.3499730866379781
2.482095362392359e-06,-0.3499734172536643
2.482129310835883e-06,-0.3499737107375852
2.482162581766556e-06,-0.3499739876462934
2.482194901802989e-06,-0.3499742937737675
2.482226104084875e-06,-0.3499745762823042
2.4822558842041e-06,-0.3499748449798403
2.482284739595982e-06,-0.3499751177255714
2.48231197689988e-06,-0.3499755023904813
2.482337790630912e-06,-0.3499760817541034
2.482362187851768e-06,-0.3499769391539156
2.482385101493042e-06,-0.34997799299029
2.482406410929225e-06,-0.3499794114314482
2.482426513765961e-06,-0.3499811789636735
2.482445186798665e-06,-0.3499833618294271
2.482462640935301e-06,-0.3499860431523237
2.482479158363076e-06,-0.3499892854627581
2.482495059992601e-06,-0.3499931250867703
2.48251094896264e-06,-0.3499976037489343
2.482527913105878e-06,-0.3500028268267188
2.482547968495683e-06,-0.3500090812684049
2.482576285196194e-06,-0.3500167536198113
2.48261621644861e-06,-0.3500235730008
2.482651925206535e-06,-0.3500257555072274
2.482686587049871e-06,-0.3500249704817372
2.482720787819914e-06,-0.350019635681952
2.482731969048976e-06,-0.3500048488101815
2.482740956560551e-06,-0.3499593503609423
2.482746904606686e-06,-0.3498908141786961
2.48275304558307e-06,-0.3497792846305985
2.482758221162065e-06,-0.349651597550985
2.482763607563792e-06,-0.3494955377402649
2.482767487500117e-06,-0.3493841016327257
2.482771364046276e-06,-0.3492910309039271
2.48277466443005e-06,-0.3492378791599419
2.482777756683863e-06,-0.3492160765680111
2.482781137423523e-06,-0.349224307916228
2.482785096670853e-06,-0.3492684367172338
2.482789133313248e-06,-0.34933809874813
2.482792609521894e-06,-0.3494060029637123
2.482796347866502e-06,-0.3494758987755098
2.482799705397357e-06,-0.3495303372125373
2.48280355278951e-06,-0.3495802049125813
2.482808148800951e-06,-0.3496224498643363
2.482814435233855e-06,-0.3496552438564282
2.482821121218171e-06,-0.3496684919102189
2.482827354462359e-06,-0.3496653151499871
2.482833269851139e-06,-0.349655155000841
2.482839938619273e-06,-0.3496401205543852
2.48284798210784e-06,-0.3496198956382711
2.482859052100922e-06,-0.3495938975960243
2.482873609924589e-06,-0.3495584252038345
2.482886906750989e-06,-0.3495290849511465
2.482909046986563e-06,-0.3494893261829306
2.482935354856107e-06,-0.3494544341876646
2.482962572007231e-06,-0.349429009874941
2.482993516159302e-06,-0.3494092478050727
2.483030194302354e-06,-0.3493943745223235
2.483077430409584e-06,-0.3493849981909468
2.483135166466268e-06,-0.3493827514405745
2.483197949847331e-06,-0.3493862466905617
2.483266142757694e-06,-0.3493926973510501
2.483346840333688e-06,-0.3494010102279081
2.483430303294182e-06,-0.3494096751884148
2.483531732760427e-06,-0.3494207028610878
2.483651066773078e-06,-0.3494344395511515
2.483744158350945e-06,-0.34944544323321
2.483840739360801e-06,-0.3494568038031085
2.483958529240375e-06,-0.3494704153441157
2.484113384311331e-06,-0.3494878631046421
2.484305258792143e-06,-0.3495087513819786
2.484525698997901e-06,-0.3495317239690721
2.484779537316808e-06,-0.3495568240126837
2.485079748234066e-06,-0.3495847113540068
2.485440630702556e-06,-0.3496158177829012
2.485878484793423e-06,-0.3496503086268133
