db(v("/Vout+" ?result "ac")) X,db(v("/Vout+" ?result "ac")) Y
0.001,-51.60944505647159
0.001023292992280754,-51.60944505822683
0.0010471285480509,-51.60944506011857
0.001071519305237606,-51.6094450620097
0.001096478196143185,-51.60944506405567
0.001122018454301963,-51.60944506616012
0.001148153621496882,-51.60944506835814
0.001174897554939529,-51.60944507070443
0.001202264434617413,-51.60944507312389
0.001230268770812381,-51.60944507568252
0.001258925411794167,-51.60944507833516
0.001288249551693133,-51.60944508115833
0.001318256738556406,-51.60944508401704
0.001348962882591653,-51.60944508711948
0.001380384264602884,-51.60944509030097
0.001412537544622754,-51.60944509367905
0.001445439770745927,-51.60944509722138
0.001479108388168207,-51.60944510088486
0.001513561248436207,-51.60944510470814
0.00154881661891248,-51.60944510871948
0.001584893192461112,-51.6094451129884
0.001621810097358929,-51.60944511751413
0.001659586907437559,-51.60944512215529
0.001698243652461743,-51.60944512703276
0.001737800828749374,-51.60944513216741
0.001778279410038921,-51.60944513739929
0.001819700858609981,-51.60944514304194
0.001862087136662865,-51.60944514879552
0.001905460717963245,-51.60944515494491
0.001949844599758043,-51.60944516137242
0.001995262314968877,-51.60944516807207
0.002041737944669526,-51.60944517502855
0.002089296130854036,-51.60944518244818
0.002137962089502229,-51.6094451901461
0.002187761623949549,-51.60944519820929
0.002238721138568336,-51.60944520665582
0.002290867652767769,-51.60944521553451
0.002344228815319918,-51.60944522475368
0.002398832919019486,-51.60944523444463
0.002454708915685026,-51.60944524467859
0.002511886431509576,-51.60944525528719
0.002570395782768859,-51.60944526635375
0.002630267991895377,-51.60944527803363
0.00269153480392691,-51.60944529022147
0.002754228703338161,-51.60944530301489
0.002818382931264448,-51.6094453163912
0.0028840315031266,-51.60944533036997
0.00295120922666638,-51.60944534509241
0.00301995172040201,-51.6094453604501
0.003090295432513584,-51.6094453765066
0.003162277660168373,-51.60944539344869
0.003235936569296276,-51.60944541110166
0.003311311214825904,-51.60944542947439
0.003388441561392018,-51.60944544890854
0.003467368504525309,-51.60944546907503
0.003548133892335747,-51.60944549038027
0.003630780547701005,-51.6094455125991
0.003715352290971717,-51.60944553581055
0.003801893963205603,-51.60944556015616
0.003890451449942797,-51.6094455857196
0.003981071705534963,-51.60944561234528
0.004073802778041117,-51.60944564034373
0.004168693834703344,-51.60944566962527
0.004265795188015916,-51.60944570028441
0.004365158322401649,-51.60944573236793
0.00446683592150962,-51.60944576605742
0.004570881896148739,-51.60944580117472
0.004677351412871971,-51.60944583805895
0.004786300923226371,-51.60944587654945
0.00489778819368445,-51.60944591697246
0.00501187233627271,-51.60944595941633
0.005128613839913635,-51.60944600367237
0.005248074602497712,-51.60944605009949
0.005370317963702512,-51.60944609863843
0.00549540873857623,-51.60944614956672
0.005623413251903474,-51.60944620282515
0.005754399373371553,-51.60944625853043
0.005888436553555873,-51.60944631701624
0.00602559586074356,-51.60944637821992
0.006165950018614803,-51.60944644220482
0.006309573444801914,-51.60944650927266
0.006456542290346536,-51.60944657954055
0.00660693448007594,-51.60944665311183
0.006760829753919797,-51.60944673009786
0.006918309709189343,-51.60944681072786
0.007079457843841356,-51.60944689509843
0.007244359600749877,-51.60944698362552
0.007413102413009151,-51.60944707608132
0.007585775750291813,-51.60944717306094
0.007762471166286891,-51.60944727454523
0.007943282347242788,-51.60944738086818
0.008128305161640965,-51.60944749222225
0.008317637711026681,-51.60944760866037
0.008511380382023735,-51.60944773068002
0.008709635899560775,-51.6094478583672
0.008912509381337422,-51.60944799226409
0.009120108393559064,-51.60944813245247
0.009332543007969875,-51.60944827908897
0.009549925860214322,-51.60944843272656
0.009772372209558068,-51.60944859358136
0.00999999999999996,-51.60944876197551
0.0102329299228075,-51.60944893839964
0.01047128548050895,-51.60944912298866
0.01071519305237602,-51.60944931648914
0.01096478196143181,-51.60944951894298
0.01122018454301959,-51.60944973092478
0.01148153621496878,-51.60944995293932
0.01174897554939525,-51.60945018546318
0.01202264434617408,-51.60945042884514
0.01230268770812376,-51.60945068365822
0.01258925411794162,-51.60945095055191
0.01288249551693128,-51.60945123001014
0.01318256738556401,-51.60945152258493
0.01348962882591648,-51.60945182898735
0.01380384264602879,-51.60945214984864
0.01412537544622748,-51.60945248570037
0.01445439770745921,-51.60945283751946
0.01479108388168201,-51.60945320590541
0.01513561248436201,-51.60945359145341
0.01548816618912474,-51.60945399534945
0.01584893192461106,-51.60945441814565
0.01621810097358923,-51.60945486088828
0.01659586907437553,-51.60945532439502
0.01698243652461736,-51.60945580986155
0.01737800828749367,-51.60945631810848
0.01778279410038914,-51.60945685031759
0.01819700858609975,-51.60945740754242
0.01862087136662858,-51.60945799095085
0.01905460717963238,-51.60945860190947
0.01949844599758035,-51.60945924148157
0.01995262314968869,-51.60945991124672
0.02041737944669519,-51.60946061251671
0.02089296130854029,-51.60946134680411
0.02137962089502221,-51.60946211556127
0.02187761623949541,-51.60946292044716
0.02238721138568328,-51.60946376329923
0.02290867652767761,-51.60946464567548
0.0234422881531991,-51.60946556970206
0.02398832919019478,-51.60946653711341
0.02454708915685017,-51.60946754999874
0.02511886431509567,-51.60946861052606
0.0257039578276885,-51.60946972083514
0.02630267991895368,-51.60947088340578
0.02691534803926901,-51.60947210055835
0.02754228703338151,-51.60947337495278
0.02818382931264438,-51.60947470909066
0.0288403150312659,-51.60947610593493
0.02951209226666369,-51.60947756858272
0.03019951720401999,-51.60947909971049
0.03090295432513573,-51.60948070287566
0.03162277660168361,-51.60948238126733
0.03235936569296264,-51.60948413836697
0.03311311214825892,-51.6094859780062
