I0.phi_s X,I0.phi_s Y
2.472121320650259e-06,-1.106712260360898e-06
2.472452226433851e-06,-1.539047643667456e-06
2.47277785352431e-06,-2.12854891727655e-06
2.47310205263148e-06,-2.936224106929525e-06
2.473428049796616e-06,-4.046013708467778e-06
2.473758481658108e-06,-5.569754973508226e-06
2.474095307833701e-06,-7.648377813695275e-06
2.474439604634395e-06,-1.044362448664558e-05
2.474791289036251e-06,-1.411364095332668e-05
2.475148899177528e-06,-1.877121229989612e-05
2.475509620584318e-06,-2.443844587757575e-05
2.475869691337601e-06,-3.102705965114261e-05
2.476225095292913e-06,-3.836648774891487e-05
2.476572229780546e-06,-4.62675477678976e-05
2.476908261229379e-06,-5.45821059496672e-05
2.477231128951678e-06,-6.322963267968355e-05
2.47753935572845e-06,-7.219141527628167e-05
2.477831838092123e-06,-8.148931104995366e-05
2.478107702590269e-06,-9.116330846536665e-05
2.478366239042839e-06,-0.0001012538665641393
2.47860689179913e-06,-0.0001117896175905138
2.478829289409539e-06,-0.0001227794053809387
2.479033300957749e-06,-0.0001342081714441776
2.479219110493708e-06,-0.0001460374379079237
2.479387292905376e-06,-0.0001582118439657458
2.47953886205254e-06,-0.0001706725773030714
2.479675283340316e-06,-0.0001833794055098037
2.479798539309587e-06,-0.0001963539716823784
2.479911425000519e-06,-0.0002097774822099546
2.480018151251364e-06,-0.000224181435435566
2.480125298516184e-06,-0.0002408090577008413
2.480244499224552e-06,-0.0002627301059081385
2.480411587317435e-06,-0.0003029753541473607
2.480608012303491e-06,-0.0003826080964470612
2.480765017074428e-06,-0.0004984408622043118
2.480894523477613e-06,-0.000633449909486032
2.481020391236404e-06,-0.0008101058564256449
2.481135160744504e-06,-0.001067153342308082
2.48118249563124e-06,-0.001263043070327325
2.481225380048731e-06,-0.001527663285810724
2.481266840185913e-06,-0.001910496813401565
2.481299504228068e-06,-0.002328110344888522
2.481329413617423e-06,-0.002752585713510989
2.481355181400035e-06,-0.003111067893852707
2.481378912921678e-06,-0.003430305152398064
2.481415427163782e-06,-0.003898024501815679
2.481461507237378e-06,-0.004447058033942783
2.481493968056196e-06,-0.004781102077918383
2.481507815663883e-06,-0.004895662564090732
2.481518497870072e-06,-0.004963168846533431
2.481524967293101e-06,-0.004969832694140404
2.481533033914173e-06,-0.004856206098426581
2.481538847274238e-06,-0.004640653422430159
2.481544063613135e-06,-0.004321609846019799
2.481549667670676e-06,-0.00382841726668342
2.481556343508697e-06,-0.003038650951922937
2.481565468604182e-06,-0.001665595402389897
2.481572120591483e-06,-0.0005102702807592611
2.481577683717951e-06,0.0004918252954779832
2.481582413786358e-06,0.001341307311851556
2.481587578290999e-06,0.002261043451754957
2.481593815615096e-06,0.00332184559809002
2.48159929481252e-06,0.004177628897465357
2.481604814036146e-06,0.004938271079853227
2.481610492133835e-06,0.005588827365045468
2.48161655625843e-06,0.006114520263595337
2.48162346513611e-06,0.006487141196183904
2.481632542154402e-06,0.00662168305066654
2.481641630415491e-06,0.006404582138984298
2.48164931174545e-06,0.006015625191559669
2.481655627138026e-06,0.005607353741352393
2.481661474364893e-06,0.005196440410130855
2.481667342769873e-06,0.004780414718088841
2.481673652263786e-06,0.004351702485479394
2.481680775946625e-06,0.003922161496888664
2.481687865070869e-06,0.003546385737968548
2.481697865597597e-06,0.003105217692867351
2.481714055329461e-06,0.002637805049519234
2.481728614595765e-06,0.002466282963093352
2.481743438390985e-06,0.002498926474829949
2.481758297903469e-06,0.002706166074080788
2.481772953411047e-06,0.003034049253748634
2.481786112313559e-06,0.003412620433709177
2.481802178143651e-06,0.003972754164407761
2.481825605911847e-06,0.004963795021170199
2.481851603012954e-06,0.006298281915327152
2.481888607527036e-06,0.008645486220732532
2.481929751047565e-06,0.0119426800461835
2.48196334006856e-06,0.01523911646117757
2.481995127742637e-06,0.01892125914866536
2.482027680742058e-06,0.02332172995430608
2.48206123876331e-06,0.02859850337811844
2.482095362392359e-06,0.03482676141728778
2.482129310835883e-06,0.04199955946841852
2.482162581766556e-06,0.05011126893912534
2.482194901802989e-06,0.05917924818649098
2.482226104084875e-06,0.06923841518374457
2.4822558842041e-06,0.08024784590715844
2.482284739595982e-06,0.0924881527164254
2.48231197689988e-06,0.1057563457782567
2.482337790630912e-06,0.1202033387177133
2.482362187851768e-06,0.1359159245628899
2.482385101493042e-06,0.1529380627193065
2.482406410929225e-06,0.1712142395458668
2.482426513765961e-06,0.1911671876315417
2.482445186798665e-06,0.2126612259172053
2.482462640935301e-06,0.2359716450445309
2.482479158363076e-06,0.2615613616778518
2.482495059992601e-06,0.2900876037128253
2.48251094896264e-06,0.3229738554939257
2.482527913105878e-06,0.3633666318063616
2.482547968495683e-06,0.4184306723229561
2.482576285196194e-06,0.5095355176493244
2.48261621644861e-06,0.6631586707108474
2.482651925206535e-06,0.8236434540006524
2.482686587049871e-06,0.9979988907795606
2.482720787819914e-06,1.184527851724914
2.482731969048976e-06,1.247684293326502
2.482740956560551e-06,1.297951868938324
2.482746904606686e-06,1.330168770239433
2.48275304558307e-06,1.362086549432785
2.482758221162065e-06,1.387853080246259
2.482763607563792e-06,1.413528746029318
2.482767487500117e-06,1.431274197385343
2.482771364046276e-06,1.448345594665279
2.48277466443005e-06,1.462356494914866
2.482777756683863e-06,1.475062922168059
2.482781137423523e-06,1.488527995604084
2.482785096670853e-06,1.503755955205668
2.482789133313248e-06,1.518717946616145
2.482792609521894e-06,1.531179033279375
2.482796347866502e-06,1.544145172114812
2.482799705397357e-06,1.555386203314064
2.48280355278951e-06,1.567749825920054
2.482808148800951e-06,1.581728858498536
2.482814435233855e-06,1.599380006458705
2.482821121218171e-06,1.616294723592112
2.482827354462359e-06,1.630447065723282
2.482833269851139e-06,1.642557473041554
2.482839938619273e-06,1.65483894233961
2.48284798210784e-06,1.667984081084891
2.482859052100922e-06,1.683621573593648
2.482873609924589e-06,1.70075325050221
2.482886906750989e-06,1.713743000115489
2.482909046986563e-06,1.731349276561811
2.482935354856107e-06,1.747505453057568
2.482962572007231e-06,1.760234159215374
2.482993516159302e-06,1.77106736507675
2.483030194302354e-06,1.780142148993011
2.483077430409584e-06,1.787452775745338
2.483135166466268e-06,1.792055605166948
2.483197949847331e-06,1.794232216553516
2.483266142757694e-06,1.795325607527319
2.483346840333688e-06,1.796278907080876
2.483430303294182e-06,1.797239887042776
2.483531732760427e-06,1.798176921848504
2.483651066773078e-06,1.798817981820888
2.483744158350945e-06,1.799060220488745
2.483840739360801e-06,1.799215439740864
2.483958529240375e-06,1.799365290502297
2.484113384311331e-06,1.799516995027787
2.484305258792143e-06,1.799644649177815
2.484525698997901e-06,1.799737219084104
2.484779537316808e-06,1.799804427485526
2.485079748234066e-06,1.799854904810105
2.485440630702556e-06,1.799892894976163
2.485878484793423e-06,1.799921470618103
2.486386949021848e-06,1.799942558813773
2.48698258667964e-06,1.799959489395083
2.487714883138376e-06,1.799974614808041
2.488593730827627e-06,1.799987209393527
2.489602039045393e-06,1.799995653667226
2.490782032989985e-06,1.799999921875216
2.492197553621809e-06,1.800001170935946
2.493535835266685e-06,1.800000926538932
2.494922048604368e-06,1.800000701429472
2.496543243572047e-06,1.800000533548542
2.498192224072661e-06,1.800000394900457
2.49999640923648e-06,1.800000279020849
2.502132648545852e-06,1.800000181801424
2.504775984711016e-06,1.800000102325356
2.507968225932171e-06,1.800000044455422
2.511856718307827e-06,1.800000007404819
2.516619783676924e-06,1.799999987607301
2.522454606943228e-06,1.799999980100831
2.529580957738585e-06,1.799999979041188
2.538262474182701e-06,1.799999980996551
2.548810588000185e-06,1.79999998154043
2.561591267269573e-06,1.799999981879279
2.577039161353925e-06,1.799999982028051
2.595693992465903e-06,1.799999982077565
2.618293010917301e-06,1.799999982080627
2.64603168788893e-06,1.799999982086649
2.680295419621332e-06,1.799999982100595
2.720181862275732e-06,1.79999998214706
2.759777603862457e-06,1.799999982210241
2.794673014374488e-06,1.799999982214539
2.834679540183712e-06,1.799999982198288
2.897445752689181e-06,1.799999982198311
2.96e-06,1.799999982198873
2.968600725701161e-06,1.799999982200617
2.977737549862011e-06,1.799999982194265
2.990228433552484e-06,1.799999982201162
3.015210200933432e-06,1.799999982198459
3.065173735695326e-06,1.799999982198839
3.165100805219116e-06,1.799999982198842
3.364954944266695e-06,1.799999982198842
3.764663222361852e-06,1.799999982198842
4.564079778552168e-06,1.799999982198842
6.1629128909328e-06,1.799999982198842
