(v("/V_in+" ?result "tran") - v("/V_in-" ?result "tran")) X,(v("/V_in+" ?result "tran") - v("/V_in-" ?result "tran")) Y
0,-0.001999999999750091
2e-06,-0.00199999999974998
2.001078884374198e-06,-0.00199999999974998
2.001878891877638e-06,-0.00199999999974998
2.00347890688452e-06,-0.00199999999974998
2.005363639512051e-06,-0.00199999999974998
2.009133104767114e-06,-0.00199999999974998
2.016672035277241e-06,-0.001999999999750091
2.031749896297493e-06,-0.00199999999974998
2.061905618337999e-06,-0.00199999999974998
2.122217062419009e-06,-0.00199999999974998
2.146391747901953e-06,-0.00199999999974998
2.185360352804928e-06,-0.00199999999974998
2.199017821997113e-06,-0.00199999999974998
2.21310486243502e-06,-0.00199999999974998
2.2263078119453e-06,-0.00199999999974998
2.236587086520279e-06,-0.00199999999974998
2.245245128809904e-06,-0.00199999999974998
2.253170513463767e-06,-0.00199999999974998
2.260705069012046e-06,-0.00199999999974998
2.268035972005634e-06,-0.00199999999974998
2.275313067257411e-06,-0.00199999999974998
2.282667731061671e-06,-0.00199999999974998
2.290221167090009e-06,-0.00199999999974998
2.298092361915688e-06,-0.00199999999974998
2.306400564798269e-06,-0.001999999999750091
2.315257418343382e-06,-0.001999999999750091
2.324741995898594e-06,-0.001999999999750091
2.334852900137244e-06,-0.001999999999750091
2.345452676152027e-06,-0.001999999999750091
2.356263379305311e-06,-0.001999999999750091
2.366961322062161e-06,-0.00199999999974998
2.377300957179819e-06,-0.00199999999974998
2.387155705898859e-06,-0.001999999999750091
2.396478777835341e-06,-0.001999999999750091
2.405253773722533e-06,-0.001999999999750091
2.413468949981067e-06,-0.00199999999974998
2.421110515174371e-06,-0.001999999999750091
2.428163571973051e-06,-0.001999999999750091
2.434614806872867e-06,-0.00199999999974998
2.440455095168489e-06,-0.00199999999974998
2.445681611246904e-06,-0.00199999999974998
2.450299444111655e-06,-0.00199999999974998
2.454322871772284e-06,-0.00199999999974998
2.457776501668055e-06,-0.00199999999974998
2.460696443008137e-06,-0.00199999999974998
2.463128148537436e-06,-0.001999999999750091
2.465142167864227e-06,-0.00199999999974998
2.466803502933611e-06,-0.001999999999750091
2.4681920417398e-06,-0.00199999999974998
2.468892998141028e-06,-0.00199999999974998
2.469568602408517e-06,-0.00199999999974998
2.470149126641162e-06,-0.00199999999974998
2.470626256170972e-06,-0.00199999999974998
2.471043357345788e-06,-0.00199999999974998
2.47142391392942e-06,-0.00199999999974998
2.471780501404975e-06,-0.001999999999750091
2.472121320634792e-06,-0.001999999999750091
2.472452226435215e-06,-0.00199999999974998
2.472777853521595e-06,-0.00199999999974998
2.47310205262728e-06,-0.00199999999974998
2.473428049792866e-06,-0.00199999999974998
2.47375848165438e-06,-0.00199999999974998
2.474095307829598e-06,-0.00199999999974998
2.47443960462976e-06,-0.00199999999974998
2.47479128903103e-06,-0.00199999999974998
2.475148899171678e-06,-0.00199999999974998
2.47550962057773e-06,-0.001999999999750091
2.475869691330062e-06,-0.001999999999750091
2.476225095284111e-06,-0.001999999999750091
2.476572229770106e-06,-0.00199999999974998
2.47690826121688e-06,-0.00199999999974998
2.477231128936605e-06,-0.00199999999974998
2.477539355710067e-06,-0.00199999999974998
2.477831838069343e-06,-0.00199999999974998
2.478107702561506e-06,-0.001999999999750091
2.478366239005812e-06,-0.00199999999974998
2.478606891750571e-06,-0.00199999999974998
2.478829289331373e-06,-0.00199999999974998
2.479033300884296e-06,-0.001999999999750091
2.479219110369102e-06,-0.00199999999974998
2.479387292737639e-06,-0.001999999999750091
2.479538861826779e-06,-0.00199999999974998
2.479675283037803e-06,-0.001999999999750091
2.479798538923408e-06,-0.00199999999974998
2.479911424564839e-06,-0.00199999999974998
2.480018150927894e-06,-0.00199999999974998
2.480125298774323e-06,-0.001999999999750091
2.480244500885741e-06,-0.00199999999974998
2.48041160607273e-06,-0.00199999999974998
2.4806079839666e-06,-0.00199999999974998
2.480764935576065e-06,-0.00199999999974998
2.48089429583199e-06,-0.00199999999974998
2.481020036201115e-06,-0.00199999999974998
2.481134598872195e-06,-0.001999999999750091
2.48118339764857e-06,-0.00199999999974998
2.481227591505493e-06,-0.00199999999974998
2.481268548044669e-06,-0.001999999999750091
2.481300482576074e-06,-0.00199999999974998
2.481330191976309e-06,-0.00199999999974998
2.48135586337972e-06,-0.00199999999974998
2.481380827714826e-06,-0.00199999999974998
2.481417773437915e-06,-0.001999999999749091
2.481466753410182e-06,-0.001999999998681945
2.48149581196721e-06,-0.00199999984945809
2.481513058899004e-06,-0.001999996220949263
2.481525107650122e-06,-0.001999964946303612
2.481537611782455e-06,-0.001999760268809214
2.481547050050115e-06,-0.001999243358552394
2.481556538049591e-06,-0.001998722721679336
2.481567659438513e-06,-0.001998647622170169
2.481582717152737e-06,-0.001998493798876178
2.481595794786134e-06,-0.001998002510015362
2.481606069551696e-06,-0.001997581878093402
2.481615130935974e-06,-0.001997267508399458
2.481624413782398e-06,-0.001996993623622156
2.48163381314817e-06,-0.00199675898437579
2.481649865800476e-06,-0.001996443140674042
2.481663960854472e-06,-0.001996240307494679
2.481687305010861e-06,-0.001996030325001397
2.481706451706415e-06,-0.001995968347582644
2.481724666269265e-06,-0.001996016592217931
2.481744188415709e-06,-0.001996225934424278
2.481766363260126e-06,-0.001996716879492544
2.481795289691743e-06,-0.001997698514286439
2.481824240627783e-06,-0.001998776289688364
2.481852515238206e-06,-0.001999696714794719
2.481875004689448e-06,-0.002000320354218155
2.48189424139223e-06,-0.002000759336331037
2.481912996018259e-06,-0.002001069421458834
2.481933443067792e-06,-0.002001279147729629
2.481957790324216e-06,-0.002001386295579111
2.481987457393406e-06,-0.002001367691954359
2.482021899683848e-06,-0.002001224260864243
2.48205885481406e-06,-0.002001006774445147
2.482096084585324e-06,-0.002000778219755417
2.482132274233829e-06,-0.00200057638664608
2.482166911816764e-06,-0.002000413105713417
2.482199906668663e-06,-0.00200033863800253
2.482230801715281e-06,-0.002000171128206385
2.482261550012653e-06,-0.002000113026800587
2.482289869809396e-06,-0.002000058490182699
2.482316619637007e-06,-0.002000019370090755
2.482342083538582e-06,-0.001999992099302239
2.482366061890591e-06,-0.001999974402631888
2.482388538068478e-06,-0.001999964405293708
2.48240952955898e-06,-0.001999960765261766
2.482429085814249e-06,-0.001999962557167501
2.482447320294164e-06,-0.001999969171365357
2.482464403889548e-06,-0.001999980242134547
2.482480570705021e-06,-0.001999995558221501
2.482496184335163e-06,-0.002000014990244159
2.482511896902981e-06,-0.002000038620265876
2.482528881399021e-06,-0.002000067119846793
2.482549397238983e-06,-0.002000102176970331
2.482580461772056e-06,-0.00200014837502982
2.482622954731496e-06,-0.002000187922952978
2.482657751617273e-06,-0.002000198294908273
2.482691548407704e-06,-0.002000191899182879
2.482724657699376e-06,-0.002000170560399028
2.482753924433304e-06,-0.001999983938459571
2.482764036673193e-06,-0.001999369213267377
2.482774413477273e-06,-0.001997658055496232
2.482783061530917e-06,-0.001995656301572835
2.482793222228423e-06,-0.001994021801990487
2.482798132743948e-06,-0.001993826072065996
2.482802864655136e-06,-0.001993996201871795
2.482807557791369e-06,-0.001994528212162505
2.482813233579584e-06,-0.001995492379132657
2.482820965466478e-06,-0.00199692487559
2.4828268712727e-06,-0.001997823583812841
2.482832168821701e-06,-0.001998365235058364
2.482837683914795e-06,-0.001998664316024135
2.482844257533969e-06,-0.001998742730890513
2.482853019832244e-06,-0.001998565041916978
2.482863885187034e-06,-0.001998174277042075
